wellbore	date	discovered_oil	discovered_gas	discovered_oe
8/3-1	1966-07-19	0.00	0.00	0.00
BALDER	1966-10-18	0	0	0
16/2-1	1967-07-11	0.00	0.00	0.00
16/11-1 S	1967-07-14	0.00	0.00	0.00
16/7-1	1967-08-11	0.00	0.00	0.00
16/1-1	1967-09-26	0.00	0.00	0.00
16/6-1	1967-11-07	0.00	0.00	0.00
2/8-1	1967-11-28	0.00	0.00	0.00
COD	1968-02-26	2.90	7.30	10.70
9/4-1	1968-03-31	0.00	0.00	0.00
16/9-1	1968-05-08	0.00	0.00	0.00
9/8-1	1968-05-23	0.00	0.00	0.00
17/11-1	1968-05-24	0.00	0.00	0.00
17/4-1	1968-06-17	0.00	0.00	0.00
1/3-1	1968-07-06	0.00	0.00	0.00
7/8-1	1968-08-31	0.00	0.00	0.00
7/12-1 S	1968-08-31	0.00	0.00	0.00
17/10-1	1968-12-30	0.00	0.00	0.00
2/3-1	1969-02-10	0.00	0.00	0.00
9/12-1	1969-03-28	0.00	0.00	0.00
7/3-1	1969-04-07	0.00	0.00	0.00
2/6-1	1969-04-21	0.00	0.00	0.00
1/3-2	1969-05-14	0.00	0.00	0.00
8/10-1	1969-05-30	0.00	0.00	0.00
MIME	1969-07-02	0.40	0.10	0.50
11/10-1	1969-08-02	0.00	0.00	0.00
2/4-1	1969-08-25	0.00	0.00	0.00
EKOFISK	1969-09-18	563.30	161.60	739.90
BALDER	1970-04-28	68.90	1.80	70.70
2/8-2	1970-06-28	0.00	0.00	0.00
9/4-2	1970-07-19	0.00	0.00	0.00
TOR	1970-08-01	24.40	11.30	36.90
ELDFISK	1970-08-03	135.60	45.40	185.00
25/10-2	1970-08-05	0.00	0.00	0.00
VEST EKOFISK	1970-08-28	12.20	26.00	39.60
9/10-1	1970-08-30	0.00	0.00	0.00
10/8-1	1970-12-12	0.00	0.00	0.00
2/7-2	1970-12-13	0.00	0.00	0.00
16/5-1	1971-01-17	0.00	0.00	0.00
FRIGG	1971-03-30	0.00	116.20	116.70
7/9-1	1971-04-22	0.00	0.00	0.00
8/12-1	1971-05-31	0.00	0.00	0.00
7/1-1	1971-07-03	0.00	0.00	0.00
9/11-1	1971-07-03	0.00	0.00	0.00
15/6-1	1971-08-07	0.00	0.00	0.00
2/3-3	1971-10-08	0.00	0.00	0.00
17/12-1	1971-10-27	0.00	0.00	0.00
8/1-1	1971-12-02	0.00	0.00	0.00
17/12-1 VETTE	1972-03-14	7.20	0.00	7.20
2/5-3 SØRØST TOR	1972-04-02	3.10	0.87	3.97
2/7-3	1972-04-14	0.00	0.00	0.00
25/10-2 R	1972-05-02	0.00	0.00	0.00
30/5-1	1972-05-17	0.00	0.00	0.00
2/8-3	1972-06-16	0.00	0.00	0.00
EDDA	1972-06-23	4.80	2.00	7.00
HEIMDAL	1972-07-01	6.50	45.20	51.70
ALBUSKJELL	1972-07-10	7.40	15.60	24.00
9/4-3	1972-07-14	0.00	0.00	0.00
2/1-1	1972-08-28	0.00	0.00	0.00
2/5-4	1972-09-03	0.00	0.00	0.00
2/9-1	1972-11-03	0.00	0.00	0.00
1/6-2	1972-11-28	0.00	0.00	0.00
ELDFISK	1973-06-08	0	0	0
16/11-2	1973-06-16	0.00	0.00	0.00
7/8-2	1973-07-24	0.00	0.00	0.00
3/7-1	1973-08-01	0.00	0.00	0.00
ØST FRIGG	1973-08-04	0.00	9.20	9.30
17/12-2 BRISLING	1973-08-31	0.00	0.00	0.00
17/9-1	1973-09-16	0.00	0.00	0.00
25/12-1	1973-10-03	0.00	0.00	0.00
1/5-1	1973-10-12	0.00	0.00	0.00
2/4-10	1973-10-13	0.00	0.00	0.00
25/4-2	1973-10-18	0.78	0.08	0.86
FLYNDRE	1973-10-19	0.00	0.00	0.00
STATFJORD	1973-12-01	573.00	79.50	677.80
ODIN	1973-12-24	0.00	27.30	27.50
2/4-11	1973-12-25	0.00	0.00	0.00
EMBLA	1973-12-25	12.00	7.30	19.90
18/11-1	1974-02-17	0.00	0.00	0.00
NORDØST FRIGG	1974-04-01	0.00	11.60	11.70
2/8-5	1974-04-11	0.00	0.00	0.00
17/9-1 R	1974-05-18	0.00	0.00	0.00
25/2-3	1974-09-01	0.00	0.00	0.00
SLEIPNER VEST	1974-09-05	0.00	133.50	176.10
25/4-3 GEKKO	1974-10-13	0.00	0.00	0.00
HOD	1974-11-06	10.30	1.80	12.50
GUDRUN	1974-11-27	14.50	10.90	27.30
30/11-1	1975-02-05	0.00	0.00	0.00
2/7-11	1975-02-24	0.00	0.00	0.00
30/11-2	1975-03-18	0.00	0.00	0.00
VALHALL	1975-04-07	146.70	27.40	179.60
8/11-1	1975-04-24	0.00	0.00	0.00
36/1-1	1975-05-09	0.00	0.00	0.00
LILLE-FRIGG	1975-05-14	1.30	2.20	3.50
30/7-1	1975-07-05	0.00	0.00	0.00
15/12-1	1975-07-07	0.00	0.00	0.00
2/8-7	1975-07-23	0.00	0.00	0.00
2/4-12	1975-07-28	0.00	0.00	0.00
MARTIN LINGE	1975-08-06	0	0	0
36/1-2	1975-08-26	0.00	0.00	0.00
25/8-2	1975-09-09	0.00	0.00	0.00
2/10-1 S	1975-09-16	0.00	0.00	0.00
8/9-1	1975-12-22	0.00	0.00	0.00
1/6-4	1975-12-29	0.00	0.00	0.00
15/12-2	1976-01-07	0.00	0.00	0.00
11/9-1	1976-01-16	0.00	0.00	0.00
16/3-1	1976-01-31	0.00	0.00	0.00
16/3-2	1976-02-11	0.00	0.00	0.00
24/9-1	1976-02-29	0.00	0.00	0.00
33/12-6	1976-03-02	0.00	0.00	0.00
25/2-5 LILLE FRØY	1976-03-08	3.03	1.57	4.60
17/11-2	1976-04-12	0.00	0.00	0.00
10/5-1	1976-05-31	0.00	0.00	0.00
33/9-6 DELTA	1976-06-23	0.00	0.00	0.00
15/6-4	1976-06-28	0.00	0.00	0.00
ULA	1976-07-04	84.20	3.90	91.30
16/1-2	1976-07-04	0.00	0.00	0.00
35/3-1	1976-07-19	0.00	0.00	0.00
30/7-3	1976-08-06	0.00	0.00	0.00
STATFJORD ØST	1976-09-06	36.60	4.10	42.90
16/8-1	1976-09-25	0.00	0.00	0.00
1/9-1 TOMMELITEN ALPHA	1976-10-14	7.83	13.64	21.96
15/3-2	1976-10-29	0.00	0.00	0.00
STATFJORD NORD	1976-11-11	39.60	2.10	42.80
30/7-4	1977-01-25	0.00	0.00	0.00
30/7-5	1977-02-05	0.00	0.00	0.00
30/7-6	1977-02-14	0.00	0.00	0.00
24/9-2	1977-06-13	0.00	0.00	0.00
8/4-1	1977-06-21	0.00	0.00	0.00
9/4-4	1977-07-19	0.00	0.00	0.00
15/3-2 R	1977-07-26	0.00	0.00	0.00
TOMMELITEN GAMMA	1977-08-13	3.90	9.70	14.10
HOD	1977-10-10	0	0	0
GINA KROG	1977-11-26	15.30	12.50	32.70
2/1-2	1977-12-14	0.00	0.00	0.00
24/12-1	1978-01-16	0.00	0.00	0.00
25/1-6	1978-01-26	0.00	0.00	0.00
33/9-10	1978-04-08	0.00	0.00	0.00
MARTIN LINGE	1978-04-18	0	0	0
3/5-1	1978-05-03	0.00	0.00	0.00
2/5-6	1978-05-14	0.00	0.00	0.00
24/12-1 R	1978-06-07	0.00	0.00	0.00
33/9-11	1978-06-17	0.00	0.00	0.00
GULLFAKS	1978-06-20	369.90	23.10	395.80
3/5-2	1978-06-29	0.00	0.00	0.00
15/5-2 EIRIN	1978-08-16	0.00	6.11	6.54
GULLFAKS SØR	1978-09-09	0	0	0
30/4-1	1978-11-01	0.00	0.00	0.00
2/7-12	1978-12-17	0.00	0.00	0.00
30/7-7	1978-12-18	0.00	0.00	0.00
2/7-13	1979-02-01	0.00	0.00	0.00
33/6-1	1979-04-09	0.00	0.00	0.00
OSEBERG	1979-06-19	389.10	111.90	513.00
2/9-2	1979-07-07	0.00	0.00	0.00
SNORRE	1979-07-11	257.20	6.60	268.50
TROLL	1979-07-17	269.40	1432.80	1731.10
33/5-1	1979-07-19	0.00	0.00	0.00
31/4-1	1979-09-09	0.00	0.00	0.00
31/4-2	1979-09-26	0.00	0.00	0.00
18/10-1	1979-10-19	1.22	0.00	1.22
GYDA	1979-11-03	36.40	6.40	44.70
BRAGE	1979-12-24	58.90	4.20	64.50
34/2-1	1979-12-29	0.00	0.00	0.00
2/6-2	1980-01-03	0.00	0.00	0.00
8/10-2	1980-02-05	0.00	0.00	0.00
34/4-2	1980-03-06	0.00	0.00	0.00
2/7-16	1980-03-20	0.00	0.00	0.00
16/8-2	1980-04-03	0.00	0.00	0.00
35/3-2 AGAT	1980-05-19	0.00	0.00	0.00
7120/12-1	1980-06-01	0.00	0.00	0.00
7119/12-1	1980-06-14	0.00	0.00	0.00
15/12-3	1980-06-21	0.00	0.00	0.00
2/7-17	1980-06-24	0.00	0.00	0.00
6507/12-1	1980-07-01	0.00	0.00	0.00
30/3-2	1980-07-04	0.00	0.00	0.00
VEGA	1980-07-27	7.90	15.60	28.20
34/10-10	1980-08-15	0.00	0.00	0.00
2/7-18	1980-08-20	0.00	0.00	0.00
15/5-3	1980-08-21	0.00	0.00	0.00
2/7-19	1980-09-02	0.00	0.00	0.00
VESLEFRIKK	1980-09-02	54.40	5.20	61.40
34/10-10 R	1980-09-19	0.00	0.00	0.00
35/3-3	1980-10-30	0.00	0.00	0.00
34/2-2	1980-11-27	0.00	0.00	0.00
34/2-2 R	1980-12-12	0.00	0.00	0.00
31/4-4	1980-12-17	0.00	0.00	0.00
24/9-3	1981-01-28	0.00	0.00	0.00
7/12-5	1981-02-06	0.00	0.00	0.00
3/7-2	1981-03-30	0.00	0.00	0.00
7120/12-2	1981-04-15	0.00	11.37	12.39
7119/12-2	1981-04-16	0.00	0.00	0.00
SLEIPNER ØST	1981-05-04	0.00	67.70	108.10
34/2-3	1981-05-15	0.00	0.00	0.00
6507/12-2	1981-06-09	0.00	0.00	0.00
OSEBERG ØST	1981-06-11	25.70	0.40	26.40
3/7-3	1981-06-21	0.00	0.00	0.00
24/12-2	1981-06-23	0.00	0.00	0.00
SNØHVIT	1981-06-28	0	0	0
34/10-12	1981-07-16	0.00	0.00	0.00
15/8-1 ALPHA	1981-07-18	0.00	2.31	4.40
33/5-2	1981-07-31	0.00	0.00	0.00
VEGA	1981-08-30	0	0	0
ÅSGARD	1981-09-13	0	0	0
15/9-10	1981-09-15	0.00	0.00	0.00
15/3-4	1981-10-03	0.00	0.00	0.00
MARTIN LINGE	1981-10-12	6.00	19.70	29.40
34/4-3	1981-10-16	0.00	0.00	0.00
TROLL	1981-10-26	0	0	0
15/2-1	1981-11-26	0.00	0.00	0.00
35/3-5	1981-12-22	0.00	0.00	0.00
16/7-2	1982-01-11	0.00	0.00	0.00
MIME	1982-02-09	0	0	0
25/2-7	1982-04-01	0.00	0.00	0.00
2/2-1	1982-04-09	0.00	0.00	0.00
6507/11-2	1982-04-18	0.00	0.00	0.00
7117/9-1	1982-04-20	0.00	0.00	0.00
15/9-14	1982-05-01	0.00	0.00	0.00
HULDRA	1982-05-17	5.10	17.20	22.40
GUNGNE	1982-05-28	0.00	14.70	21.40
6407/2-1	1982-06-03	0.00	0.00	0.00
16/7-3	1982-06-11	0.00	0.00	0.00
30/6-8	1982-06-15	0.00	0.00	0.00
31/2-8	1982-06-16	0.00	0.00	0.00
2/2-2	1982-07-04	0.00	0.00	0.00
6507/10-1	1982-07-10	0.00	0.00	0.00
SNØHVIT	1982-07-25	0	0	0
16/1-3	1982-07-29	0.00	0.00	0.00
SNØHVIT	1982-07-31	0.00	225.10	261.50
7/11-6	1982-08-09	0.00	0.00	0.00
TAMBAR	1982-08-22	9.50	2.00	12.00
OSEBERG	1982-08-28	0	0	0
8/3-2	1982-10-04	0.00	0.00	0.00
SIGYN	1982-10-15	0.00	6.50	15.60
6407/1-1	1982-10-19	0.00	0.00	0.00
2/6-3	1982-11-09	0.00	0.00	0.00
2/1-5	1982-11-13	0.00	0.00	0.00
TYRIHANS	1982-11-13	33.10	42.50	84.10
30/11-3	1982-11-17	0.00	0.00	0.00
SLEIPNER ØST	1982-12-09	0	0	0
30/6-11	1982-12-20	0.00	0.00	0.00
COD	1982-12-29	0	0	0
2/2-3	1983-02-04	0.00	0.00	0.00
TAMBAR	1983-02-15	0	0	0
GULLFAKS SØR	1983-02-22	0	0	0
7120/12-3	1983-03-16	0.00	0.00	0.00
30/3-3	1983-04-02	0.00	0.00	0.00
6610/7-1	1983-04-18	0.00	0.00	0.00
7117/9-2	1983-05-07	0.00	0.00	0.00
6609/11-1	1983-05-19	0.00	0.00	0.00
7119/12-3	1983-05-20	0.00	0.00	0.00
SNØHVIT	1983-05-26	0	0	0
6609/7-1	1983-06-21	0.00	0.00	0.00
7119/7-1	1983-07-12	0.00	0.00	0.00
TROLL	1983-07-15	0	0	0
34/10-18	1983-07-16	0.00	0.00	0.00
6609/10-1	1983-08-02	0.00	0.00	0.00
2/5-7	1983-08-11	0.00	0.00	0.00
6610/7-2	1983-08-28	0.00	0.00	0.00
7/8-3	1983-09-12	0.00	0.00	0.00
TYRIHANS	1983-09-17	0	0	0
7/11-8	1983-09-22	0.00	0.00	0.00
31/6-3	1983-11-01	0.00	0.00	0.00
34/4-5	1983-11-13	0.00	0.00	0.00
15/9-18	1983-12-16	0.00	0.00	0.00
OSEBERG ØST	1983-12-17	0	0	0
34/10-20	1983-12-23	0.00	0.00	0.00
OSEBERG SØR	1983-12-31	64.10	16.70	82.40
30/11-4	1984-01-25	0.00	0.00	0.00
7120/12-4	1984-02-18	0.00	0.00	0.00
7120/7-3	1984-03-18	0.00	0.00	0.00
ULA	1984-03-24	0	0	0
6406/3-1	1984-04-27	0.00	0.00	0.00
OSEBERG	1984-05-02	0	0	0
35/11-1	1984-05-23	0.00	0.00	0.00
2/3-4	1984-05-28	0.00	0.00	0.00
DRAUGEN	1984-06-26	148.20	1.70	152.70
7119/9-1	1984-06-28	0.00	0.00	0.00
16/7-5	1984-07-02	0.00	0.00	0.00
SNØHVIT	1984-08-06	0	0	0
6507/7-1	1984-08-10	0.00	0.00	0.00
7120/10-1	1984-08-10	0.00	0.00	0.00
ÅSGARD	1984-08-16	102.40	206.70	364.30
34/7-2	1984-09-02	0.00	0.00	0.00
2/1-7	1984-09-06	0.00	0.00	0.00
16/4-1	1984-09-08	0.00	0.00	0.00
VARG	1984-09-13	16.10	1.00	17.40
6407/6-1	1984-09-16	0.00	0.00	0.00
COD	1984-09-29	0	0	0
1/3-5	1984-10-01	0.00	0.00	0.00
31/3-3	1984-10-13	0.00	0.00	0.00
GAUPE	1984-11-02	0.20	0.40	0.60
6609/5-1	1984-11-03	0.00	0.00	0.00
30/6-16	1984-11-09	0.00	0.00	0.00
OSEBERG SØR	1984-11-22	0	0	0
7/8-4	1984-12-11	0.00	0.00	0.00
SNØHVIT	1985-01-29	0	0	0
24/6-1 PEIK	1985-02-09	0.00	0.00	0.00
6506/12-2	1985-02-12	0.00	0.00	0.00
HEIDRUN	1985-02-25	183.30	47.30	232.80
ÅSGARD	1985-03-02	0	0	0
34/2-4	1985-03-22	0.00	0.00	0.00
6506/12-4	1985-03-24	0.00	0.00	0.00
7120/5-1	1985-04-17	0.00	0.00	0.00
7120/2-1	1985-05-05	0.00	0.00	0.00
VALEMON	1985-05-06	4.60	23.60	29.40
OSEBERG SØR	1985-05-27	0	0	0
6407/4-1	1985-07-20	0.00	0.00	0.00
OSEBERG	1985-08-01	0	0	0
OSEBERG	1985-08-12	0	0	0
6406/6-1	1985-08-15	0.00	0.00	0.00
6507/12-3	1985-08-16	0.00	0.00	0.00
7120/1-1	1985-08-16	0.00	0.00	0.00
6407/6-2	1985-10-04	0.00	0.00	0.00
7121/1-1	1985-10-10	0.00	0.00	0.00
NJORD	1985-10-19	27.50	13.80	44.40
VISUND	1985-11-11	34.90	52.30	93.40
OSEBERG	1985-11-14	0	0	0
6/3-2	1985-11-21	0.00	0.00	0.00
7/11-9	1985-11-26	0.00	0.00	0.00
25/2-10 S	1985-12-02	14.42	0.00	14.42
7120/1-1 R	1985-12-02	0.00	0.00	0.00
25/6-1	1985-12-18	0.00	0.00	0.00
OSEBERG	1986-02-04	0	0	0
VIGDIS	1986-02-05	69.40	1.90	72.50
30/6-20	1986-03-10	0.00	0.00	0.00
7120/1-1 R2	1986-03-13	0.00	0.00	0.00
7121/1-1 R	1986-03-18	0.00	0.00	0.00
OSEBERG ØST	1986-04-09	0	0	0
25/7-1 S	1986-04-14	0.00	0.00	0.00
2/11-7	1986-04-16	0.00	0.00	0.00
6407/6-2 R	1986-05-08	0.00	0.00	0.00
29/3-1	1986-05-20	0.00	0.00	0.00
16/10-1	1986-05-25	0.00	0.00	0.00
7121/5-2 BETA	1986-05-26	0.00	0.00	0.00
6407/6-2 R2	1986-06-13	0.00	0.00	0.00
6507/6-1	1986-06-15	0.00	0.00	0.00
6507/2-1	1986-06-24	0.00	0.00	0.00
6406/3-2 TRESTAKK	1986-06-28	8.84	1.68	10.94
SNØHVIT	1986-07-07	0	0	0
6607/12-1	1986-07-19	0.00	0.00	0.00
6608/11-1	1986-07-19	0.00	0.00	0.00
9/3-1	1986-07-29	0.00	0.00	0.00
25/1-9	1986-09-09	0.00	0.00	0.00
34/8-2	1986-10-04	0.00	0.00	0.00
2/12-1 MJØLNER	1986-10-14	3.00	0.81	3.89
MIKKEL	1986-12-13	5.90	31.00	47.50
YME	1987-02-21	18.50	0.00	18.50
OSEBERG SØR	1987-03-08	0	0	0
6508/5-1	1987-04-22	0.00	0.00	0.00
6407/10-1	1987-05-07	0.00	0.00	0.00
1/9-1 TOMMELITEN ALPHA	1987-05-08	0	0	0
26/4-1	1987-05-08	0.00	0.00	0.00
FRØY	1987-05-12	5.60	1.60	7.30
