wellbore	date	discovered_oil	discovered_gas	discovered_oe
6608/11-3	2002-11-26	0.00	0.00	0.00
TROLL	2002-11-27	0	0	0
16/7-8 S	2002-12-17	0.00	0.00	0.00
URD	2003-01-23	0	0	0
ALVHEIM	2003-03-21	0	0	0
1/9-1 TOMMELITEN ALPHA	2003-03-22	0	0	0
ALVHEIM	2003-04-22	0	0	0
6706/6-1	2003-05-02	0.00	0.00	0.00
16/1-6 S	2003-05-22	0.00	0.00	0.00
35/8-5 S	2003-06-01	0.00	0.00	0.00
6405/7-1 ELLIDA	2003-06-20	0.00	0.00	0.00
6406/1-2	2003-06-26	0.00	0.00	0.00
6608/10-10	2003-07-17	0.00	0.00	0.00
25/9-2 S	2003-07-18	0.00	0.00	0.00
RINGHORNE ØST	2003-08-21	13.90	0.30	14.20
VILJE	2003-09-05	13.40	0.00	13.40
VALE	2003-09-09	0	0	0
2/4-15 SR	2003-10-03	0.00	0.00	0.00
GULLFAKS	2003-10-10	0	0	0
6507/8-7	2004-01-05	0.00	0.00	0.00
GIMLE	2004-03-17	0	0	0
26/4-2	2004-04-13	0.00	0.00	0.00
IVAR AASEN	2004-04-29	18.30	4.70	24.10
6608/11-4 LINERLE	2004-05-01	0.00	0.00	0.00
30/11-6 S	2004-06-03	0.00	0.00	0.00
6406/9-1 LINNORM	2004-06-15	0.00	24.35	24.93
6507/1-1	2004-09-25	0.00	0.00	0.00
15/12-15	2004-11-19	0.00	0.00	0.00
7220/6-1	2005-01-20	0.00	0.00	0.00
31/4-12	2005-02-06	0.00	0.00	0.00
35/11-13	2005-03-18	3.42	0.61	4.07
7131/4-1	2005-04-02	0.00	0.00	0.00
6605/8-1	2005-06-14	0.00	0.00	0.00
6302/6-1	2005-06-24	0.00	0.00	0.00
35/2-1	2005-07-21	0.00	19.54	19.54
9/3-2	2005-10-23	0.00	0.00	0.00
GOLIAT	2005-10-24	0	0	0
1/2-2	2005-12-14	0.00	0.00	0.00
15/9-22	2006-01-01	0.00	0.00	0.00
9/4-5	2006-01-08	0.00	0.00	0.00
7227/11-1 S	2006-01-13	0.00	0.00	0.00
7227/11-1 A	2006-02-24	0.00	0.00	0.00
GULLFAKS SØR	2006-03-20	0	0	0
6403/6-1	2006-04-10	0.00	0.00	0.00
34/10-49 A	2006-05-21	0.00	0.00	0.00
35/2-1	2006-06-15	0	0	0
6608/11-5	2006-06-18	0.00	0.00	0.00
URD	2006-07-12	0	0	0
6406/3-7	2006-07-22	0.00	0.00	0.00
GOLIAT	2006-09-21	0	0	0
6406/6-2	2006-09-23	0.00	0.00	0.00
6406/8-2	2006-10-28	0.00	0.00	0.00
7122/7-5	2006-11-28	0.00	0.00	0.00
6507/11-7	2006-12-13	0.00	0.00	0.00
16/4-4	2006-12-28	0.00	0.00	0.00
7125/4-1	2007-01-17	0.00	0.00	0.00
6607/2-1	2007-02-09	0.00	0.00	0.00
25/11-24	2007-02-18	0.00	0.00	0.00
6504/5-1 S	2007-03-31	0.00	0.00	0.00
FRAM H-NORD	2007-04-01	1.70	0.00	1.70
YTTERGRYTA	2007-05-31	0.30	2.30	3.00
6405/10-1	2007-07-05	0.00	0.00	0.00
24/9-8	2007-07-18	0.00	0.00	0.00
16/2-3	2007-08-01	2.90	0.40	3.30
NJORD	2007-08-03	0	0	0
11/5-1	2007-08-07	0.00	0.00	0.00
7/7-4	2007-08-29	0.00	0.00	0.00
15/12-18 S	2007-09-05	0.00	0.00	0.00
EDVARD GRIEG	2007-09-08	26.20	1.80	28.60
6609/6-1	2007-09-17	0.00	0.00	0.00
2/4-20	2007-09-22	0.00	0.00	0.00
16/2-4	2007-10-08	1.37	0.18	2.31
6608/8-2	2007-10-14	0.00	0.00	0.00
34/12-1	2007-11-03	1.24	11.21	13.39
15/12-18 A	2007-11-08	0.00	0.00	0.00
7120/8-4	2007-11-14	0.00	0.00	0.00
31/1-1	2008-01-02	0.00	0.00	0.00
6407/6-6 MIKKEL SØR	2008-01-02	0.63	2.15	3.33
7222/6-1 S	2008-01-07	0.00	0.00	0.00
SVALIN	2008-01-20	0	0	0
25/11-25 A	2008-02-15	0.00	0.00	0.00
GAUPE	2008-02-18	0	0	0
IVAR AASEN	2008-02-19	0	0	0
ALVE	2008-02-28	0	0	0
6507/11-9	2008-03-12	0.00	0.00	0.00
OSEBERG	2008-03-13	0	0	0
2/9-4	2008-03-20	0.00	0.00	0.00
7/1-2 S	2008-03-20	0.00	0.00	0.00
6407/8-4 S	2008-04-20	0.00	0.00	0.00
KNARR	2008-04-28	11.20	0.40	12.70
30/2-4 S	2008-05-01	0.00	0.00	0.00
30/9-21 A	2008-05-04	0.00	0.00	0.00
6605/8-2	2008-05-11	0.00	0.00	0.00
7226/2-1	2008-05-18	0.00	0.00	0.00
6407/8-4 A	2008-05-22	0.00	0.00	0.00
1/3-11	2008-05-28	0.00	0.00	0.00
VARG	2008-05-28	0	0	0
32/2-1	2008-06-18	0.00	0.00	0.00
6407/7-8	2008-06-18	0.49	2.03	2.80
AASTA HANSTEEN	2008-07-12	0.00	45.10	46.00
6608/11-6	2008-07-17	0.00	0.00	0.00
7224/6-1	2008-07-22	0.00	0.00	0.00
34/7-33	2008-08-16	0.00	0.00	0.00
7222/11-1	2008-08-24	0.00	0.00	0.00
AASTA HANSTEEN	2008-08-31	0	0	0
3/7-7	2008-09-03	0.00	0.00	0.00
VISUND SØR	2008-09-17	2.70	7.70	11.30
2/5-13	2008-09-25	0.00	0.00	0.00
6707/10-2 A	2008-10-14	0.00	0.00	0.00
SKULD	2008-10-19	9.50	0.80	10.40
6507/6-3	2008-10-31	0.00	0.00	0.00
2/1-13 S	2008-11-07	0.00	0.00	0.00
30/11-7	2008-11-12	0.87	5.48	6.35
30/8-4 S	2008-11-29	0.00	0.00	0.00
7223/5-1	2008-12-05	0.00	0.00	0.00
2/1-14 S	2008-12-07	0.00	0.00	0.00
6605/1-1	2008-12-07	0.00	0.00	0.00
2/5-14 S	2008-12-30	0.00	0.00	0.00
OSEBERG SØR	2009-01-29	0	0	0
35/6-1 S	2009-02-04	0.00	0.00	0.00
6705/10-1	2009-02-05	0.00	17.81	18.11
30/5-3 S	2009-02-06	0.44	5.49	5.93
15/6-10	2009-02-07	0.00	0.00	0.00
35/6-2 S	2009-02-11	0.00	0.00	0.00
VIGDIS	2009-02-14	0	0	0
16/2-5	2009-02-22	0.00	1.90	2.10
15/12-21	2009-03-15	7.69	0.11	7.80
VISUND	2009-03-17	0	0	0
6603/12-1	2009-03-26	0.00	0.00	0.00
25/8-16 S	2009-04-10	0.00	0.00	0.00
6407/6-7 S MIKKEL SØR	2009-04-12	0.00	0.00	0.00
30/5-3 A	2009-04-15	0.00	0.00	0.00
HYME	2009-05-02	0	0	0
34/8-13 S	2009-05-14	0.00	0.00	0.00
6507/3-6	2009-05-29	0.00	0.00	0.00
35/12-2	2009-05-30	4.80	0.74	5.54
HYME	2009-05-30	3.50	0.60	4.20
ÅSGARD	2009-06-01	0	0	0
6507/3-7	2009-06-02	0.00	0.80	0.80
25/10-9	2009-06-09	0.00	0.00	0.00
35/3-7 S	2009-06-28	0.00	0.00	0.00
6407/2-4	2009-07-23	0.00	0.00	0.00
6407/2-5 S	2009-07-26	2.91	1.30	4.28
16/1-12	2009-07-29	5.08	0.45	5.72
30/9-23	2009-07-29	0.00	0.00	0.00
6306/6-2	2009-08-21	0.00	0.00	0.00
25/5-6	2009-08-27	0.00	0.00	0.00
25/9-3	2009-08-28	0.00	0.00	0.00
6609/10-2	2009-09-05	0.00	0.00	0.00
25/2-17	2009-09-07	0.00	0.00	0.00
30/9-24	2009-09-10	0.00	0.00	0.00
BØYLA	2009-09-12	3.40	0.20	3.60
EDVARD GRIEG	2009-10-02	0	0	0
JETTE	2009-10-09	1.50	0.00	1.50
34/4-11	2009-10-13	7.34	0.66	8.00
6608/10-13	2009-10-17	0.00	0.00	0.00
ALVHEIM	2009-10-20	0	0	0
34/3-2 S	2009-10-25	0.00	0.00	0.00
6507/3-8	2009-11-09	0.00	1.41	1.72
25/4-10 A	2009-11-11	0.00	0.00	0.00
15/9-23	2009-11-18	0.00	0.00	0.00
6407/12-2	2009-11-23	0.00	0.00	0.00
1/3-12 S	2009-12-01	0.00	0.00	0.00
34/4-12 S	2009-12-19	0.00	0.00	0.00
35/9-5	2010-01-01	0.00	0.00	0.00
25/1-11	2010-01-04	0.00	0.00	0.00
34/5-1 S	2010-01-07	0.00	0.00	0.00
SKARV	2010-01-12	0	0	0
6507/11-10	2010-01-16	0.00	0.00	0.00
SNORRE	2010-01-27	0	0	0
16/4-5	2010-02-04	0.00	0.00	0.00
6506/9-2 S	2010-02-11	1.41	7.62	9.75
SKULD	2010-02-22	0	0	0
25/10-10	2010-03-01	0.00	0.00	0.00
9/2-11	2010-03-09	0.00	0.00	0.00
2/2-6	2010-03-27	0.00	0.00	0.00
6407/2-6 S	2010-04-03	0.00	1.90	2.40
25/1-11 R	2010-04-04	1.45	0.00	1.45
15/12-22	2010-04-17	0.00	0.00	0.00
6407/12-3	2010-05-14	0.00	0.00	0.00
6406/3-8	2010-05-16	24.24	2.36	28.53
15/9-24	2010-05-18	0.00	0.00	0.00
GUDRUN	2010-05-19	0	0	0
6604/10-1	2010-05-26	0.00	0.00	0.00
8/10-3	2010-06-02	0.00	0.00	0.00
6507/7-14 S	2010-06-14	0.00	17.92	18.57
16/2-6 JOHAN SVERDRUP	2010-07-20	352.40	11.15	368.19
24/12-6 S	2010-08-16	0.00	0.00	0.00
ATLA	2010-08-25	0.30	1.20	1.50
6603/5-1 S	2010-09-06	0.00	0.00	0.00
35/1-2 S	2010-09-12	0.00	0.00	0.00
16/1-14	2010-09-26	5.18	0.17	5.42
35/9-6 S	2010-09-29	0.00	0.00	0.00
7120/12-5	2010-10-17	0.00	0.00	0.00
3/8-1	2010-10-29	0.00	0.00	0.00
16/7-9	2010-12-05	0.00	0.00	0.00
GULLFAKS SØR	2010-12-06	0	0	0
15/6-12	2010-12-22	0.00	0.00	0.00
35/12-3 S	2010-12-24	0.00	0.00	0.00
6305/9-2	2010-12-26	0.00	0.00	0.00
17/6-1	2011-01-05	0.00	0.00	0.00
24/9-10 S	2011-01-06	1.24	0.10	1.34
7119/12-4	2011-01-12	0.00	0.00	0.00
25/10-11	2011-02-22	0.00	0.00	0.00
6507/8-8	2011-02-26	0.00	0.00	0.00
7220/8-1 JOHAN CASTBERG	2011-02-27	0.00	12.60	12.60
30/11-8 S	2011-03-20	0.00	0.05	0.08
6604/2-1	2011-03-21	0.00	0.00	0.00
GULLFAKS SØR	2011-03-24	0	0	0
7/11-12 S	2011-03-27	0.00	0.00	0.00
6407/3-1 S	2011-04-14	0.00	0.00	0.00
7225/3-1	2011-04-30	0.00	0.00	0.00
35/7-1 S	2011-05-13	0.00	0.00	0.00
7120/2-3 S	2011-05-15	0.00	5.00	5.00
30/11-8 A	2011-05-20	0.00	0.00	0.00
GULLFAKS SØR	2011-06-18	0	0	0
31/8-1	2011-06-27	0.00	0.00	0.00
16/7-10	2011-07-09	0.00	0.00	0.00
6607/12-2 S	2011-07-22	0.88	4.86	7.00
6407/5-2 S	2011-07-28	0.00	0.00	0.00
GULLFAKS SØR	2011-08-07	0	0	0
7/11-12 A	2011-08-08	0.00	0.00	0.00
8/10-4 S	2011-08-15	7.51	0.70	8.21
15/8-2	2011-08-20	0.00	0.00	0.00
6508/1-2	2011-08-20	0.00	0.00	0.00
6608/11-7 S	2011-09-07	0.00	0.00	0.00
KNARR	2011-09-10	0	0	0
7124/4-1 S	2011-09-16	0.00	0.00	0.00
9/1-1 S	2011-10-01	0.00	0.00	0.00
7121/9-1	2011-10-15	0.00	0.00	0.00
6507/6-4 S	2011-10-26	0.00	0.00	0.00
33/12-9 S	2011-10-28	0.55	0.45	1.08
6406/3-9	2011-11-09	0.00	0.00	0.00
6507/6-4 A	2011-11-16	0.00	0.00	0.00
7220/7-1 JOHAN CASTBERG	2011-12-05	0.00	0.00	0.00
6507/7-15 S	2012-01-09	0.00	0.00	0.00
25/6-4 S	2012-01-10	0.00	0.00	0.00
OSEBERG	2012-01-16	0	0	0
2/4-21	2012-01-19	0.00	8.10	13.60
7/12-13 S	2012-01-29	0.00	0.00	0.00
35/9-7	2012-02-28	16.12	3.99	21.19
7228/1-1	2012-03-29	0.00	0.00	0.00
34/7-35 S	2012-05-08	0.00	0.00	0.00
6201/11-3	2012-05-08	0.00	0.00	0.00
6506/11-9 S	2012-05-09	0.00	0.00	0.00
2/8-18 S	2012-05-23	0.00	0.00	0.00
SKARV	2012-06-01	0	0	0
35/2-3	2012-06-13	0.00	0.00	0.00
33/6-4	2012-07-06	0.00	0.00	0.00
3/4-2 S	2012-07-18	0.00	0.00	0.00
34/6-2 S	2012-08-05	5.95	0.24	6.19
7220/10-1	2012-08-13	0.00	0.00	0.00
6201/11-3	2012-08-15	0	0	0
7/11-13	2012-09-10	0.00	0.00	0.00
16/10-5	2012-10-02	0.00	0.00	0.00
7120/6-3 S	2012-10-11	0.00	0.00	0.00
6607/12-3	2012-10-22	0.00	0.00	0.00
IVAR AASEN	2012-10-23	0	0	0
7/8-6 S	2012-11-09	0.00	0.00	0.00
3/7-8 S	2012-12-04	0.00	0.00	0.00
6506/6-2	2012-12-06	0.00	0.00	0.00
6407/1-6 S	2012-12-07	0.00	1.70	2.10
6610/10-1	2013-01-01	0.00	0.00	0.00
VISUND	2013-01-03	0	0	0
8/5-1	2013-01-10	0.00	0.00	0.00
25/11-26	2013-01-18	0.00	0.00	0.00
16/1-17	2013-02-11	0.00	0.00	0.00
7218/11-1	2013-03-04	0.00	0.00	0.00
16/4-6 S	2013-03-11	6.39	1.87	8.26
16/8-3 S	2013-03-11	0.00	0.00	0.00
3/7-9 S	2013-03-14	0.00	0.00	0.00
7/4-3	2013-04-05	0.00	0.00	0.00
26/5-1	2013-04-10	0.00	0.00	0.00
6406/6-3	2013-04-14	0.00	0.00	0.00
6406/9-3	2013-04-17	0.00	0.00	0.00
25/11-27	2013-05-06	3.30	0.00	3.30
2/1-16 S	2013-05-10	0.00	0.00	0.00
7220/5-2	2013-05-20	0.00	0.00	0.00
6608/2-1 S	2013-06-06	0.00	0.00	0.00
6506/9-3	2013-06-17	0.00	3.12	4.81
6507/3-10	2013-06-25	0.00	0.00	0.00
7016/2-1	2013-07-14	0.00	0.00	0.00
7120/1-3	2013-07-15	13.98	10.95	24.93
7219/8-2	2013-07-16	0.00	0.00	0.00
2/1-15	2013-07-18	0.00	0.00	0.00
16/4-7	2013-07-19	0.00	0.00	0.00
7324/8-1	2013-08-10	17.90	0.70	18.60
30/9-25	2013-08-13	0.00	0.00	0.00
16/1-20 A	2013-08-20	0.00	0.00	0.00
URD	2013-08-22	0	0	0
34/10-54 S	2013-09-02	0.64	2.30	3.48
IVAR AASEN	2013-09-03	0	0	0
4/4-1	2013-09-12	0.00	0.00	0.00
6407/8-6	2013-09-20	6.78	1.68	8.93
7324/7-1 S	2013-09-21	0.00	0.00	0.00
30/11-9 S	2013-09-23	0.00	3.91	5.29
16/2-20 S	2013-09-30	0.00	0.00	0.00
7220/7-2 S	2013-10-03	0.00	0.00	0.00
35/9-9	2013-10-06	0.00	0.00	0.00
6507/10-2 S	2013-11-10	0.80	0.70	1.50
30/11-9 A	2013-11-14	1.87	0.29	2.16
16/2-20 A	2013-11-21	0.00	0.00	0.00
31/3-4	2013-11-23	0.00	0.00	0.00
25/5-8	2013-12-15	0.00	0.00	0.00
7220/4-1	2013-12-23	0.00	0.00	0.00
8/10-5 S	2014-01-01	0.00	0.00	0.00
25/5-9	2014-01-01	2.10	0.00	2.10
25/9-4	2014-01-12	0.00	0.00	0.00
35/11-16 S	2014-01-13	0.00	0.00	0.00
7222/11-2	2014-01-14	0.00	0.00	0.00
VISUND	2014-01-16	0	0	0
6406/12-3 S	2014-01-22	14.40	4.21	18.61
6407/1-7	2014-02-01	0.00	1.10	1.40
GULLFAKS SØR	2014-02-11	0	0	0
7220/7-3 S	2014-03-01	0.00	1.30	1.30
7218/8-1	2014-03-03	0.00	0.00	0.00
8/10-5 A	2014-03-06	0.00	0.00	0.00
35/11-17	2014-03-25	1.20	0.74	1.97
6608/10-16	2014-04-08	0.00	0.00	0.00
7324/7-2	2014-04-13	4.48	0.19	4.67
31/2-21 S	2014-04-27	0.00	0.00	0.00
8/10-6 S	2014-05-31	0.00	0.00	0.00
7324/2-1	2014-06-01	0.00	0.00	0.00
6507/5-7	2014-06-08	0.00	0.00	0.00
6406/12-3 A	2014-06-12	1.98	0.27	2.25
7325/1-1	2014-06-24	0.00	0.00	0.00
31/10-1	2014-07-01	0.00	0.00	0.00
2/9-5 S	2014-07-21	0.00	0.00	0.00
34/7-36 S	2014-07-28	0.00	0.00	0.00
7324/9-1	2014-07-28	0.00	0.00	0.00
7220/11-1	2014-08-05	26.10	9.70	35.80
33/12-10 S	2014-08-30	0.00	0.00	0.00
7125/4-3	2014-09-02	0.00	0.00	0.00
2/4-22 S	2014-09-10	0.00	0.00	0.00
7319/12-1	2014-09-10	0.00	12.00	12.00
7220/2-1	2014-09-27	0.00	1.50	1.50
34/6-3 A	2014-09-29	0.30	0.03	0.33
6707/10-3 S	2014-10-06	0.00	4.00	4.00
33/2-1	2014-10-07	0.00	0.00	0.00
7227/10-1	2014-10-12	0.00	0.00	0.00
25/10-12 S	2014-10-27	0.00	0.00	0.00
6405/12-1	2014-10-30	0.00	0.00	0.00
30/11-10	2014-11-02	2.00	0.00	2.00
35/9-12 S	2014-11-04	0.00	0.00	0.00
34/3-4 S	2014-11-13	0.00	0.00	0.00
34/3-4 A	2014-12-01	0.00	0.00	0.00
6406/6-4	2015-01-06	0.00	0.00	0.00
6406/2-8	2015-01-18	0.00	0.00	0.00
26/10-1	2015-01-20	0.00	0.00	0.00
