dscName,dscReservesRC,dscRecoverableOil,dscRecoverableGas,dscRecoverableNGL,dscRecoverableCondensate,dscRecoverableOe,dscDateOffResEstDisplay,dscNpdidDiscovery,dscReservesDateUpdated,DatesyncNPD
 1/9-1 TOMMELITEN ALPHA,5F,8.29,14.56,0.55,0.00,23.89,31.12.2015,43850,,21.10.2016
 15/12-21 (Grevling),5F,7.69,0.11,0.00,0.00,7.80,31.12.2015,5490719,,21.10.2016
 15/5-2 EIRIN,5F,0.00,6.11,0.12,0.31,6.64,31.12.2015,43898,,21.10.2016
 15/6-13,7F,0.44,0.71,0.00,0.13,1.28,31.12.2015,26443908,,21.10.2016
 15/8-1 (Alpha),4F,2.57,3.16,0.93,0.00,7.50,31.12.2015,43916,,21.10.2016
 16/1-12 (Rolvsnes),5F,5.08,0.45,0.19,0.00,5.90,31.12.2015,17196400,25.02.2016,21.10.2016
 16/1-14 (Apollo),5F,5.18,0.17,0.07,0.00,5.50,31.12.2015,18437181,,21.10.2016
 16/2-3 (Ragnarock),7F,2.90,0.40,0.00,0.00,3.30,31.12.2015,4527337,,21.10.2016
 16/2-4,7F,1.37,0.18,0.68,0.08,2.93,31.12.2015,17237080,25.02.2016,21.10.2016
 16/2-5,7F,0.00,1.90,0.00,0.20,2.10,31.12.2015,5490457,,21.10.2016
 16/4-6 S (Luno II),5F,6.39,1.87,0.00,0.00,8.26,31.12.2015,23295901,,21.10.2016
 16/4-6 S (Luno II),7F,2.20,0.60,0.00,0.00,2.80,31.12.2015,23295901,,21.10.2016
 17/12-1 VETTE,4F,7.38,0.06,0.00,0.00,7.44,31.12.2015,43964,,21.10.2016
 18/10-1 (Mackerel),5F,1.22,0.00,0.00,0.00,1.22,31.12.2015,43982,,21.10.2016
 2/12-1 MJØLNER,4F,4.32,0.84,0.00,0.00,5.17,31.12.2015,44006,,21.10.2016
 2/4-17 TJALVE,7F,0.59,0.84,0.00,0.00,1.42,31.12.2015,44066,,21.10.2016
 2/4-21 (King Lear),7F,0.00,8.10,0.00,5.50,13.60,31.12.2015,21669700,,21.10.2016
 2/4-22 S (Romeo),7F,0.94,0.31,0.00,0.00,1.25,31.12.2015,26264813,,21.10.2016
 2/4-23 S (Julius),7F,0.00,4.75,0.00,2.28,7.03,31.12.2015,26463461,,21.10.2016
 2/5-3 (Sørøst Tor),5F,3.10,0.87,0.00,0.00,3.97,31.12.2015,44090,,21.10.2016
 24/9-10 S (Caterpillar),5F,1.19,0.10,0.00,0.00,1.29,31.12.2015,20415286,,21.10.2016
 25/1-11 R (Storklakken),5F,1.74,0.00,0.00,0.00,1.74,31.12.2015,18086221,25.02.2016,21.10.2016
 25/11-27,5F,4.35,0.00,0.00,0.00,4.35,31.12.2015,23395692,,21.10.2016
 25/2-10 S (Frigg-GammaDelta),4F,12.71,0.00,0.00,0.00,12.71,31.12.2015,2429169,,21.10.2016
 25/2-5 LILLE FRØY,5F,3.11,1.14,0.00,0.00,4.24,31.12.2015,44246,,21.10.2016
 25/4-3 (Gekko),5F,0.20,2.84,0.00,0.00,3.04,31.12.2015,1630312,,21.10.2016
 25/5-9 (Trell),5F,1.53,0.00,0.00,0.00,1.53,31.12.2015,24567425,,21.10.2016
 25/8-4 (D-struktur),5F,8.34,0.00,0.00,0.00,8.34,31.12.2015,44324,,21.10.2016
 30/11-10 (Krafla Nord),7F,0.66,0.37,0.00,0.00,1.03,31.12.2015,25612576,,21.10.2016
 30/11-10 (Krafla Nord),5F,1.17,0.15,0.03,0.00,1.39,31.12.2015,25612576,,21.10.2016
 30/11-5 (Steinbit),5F,1.32,3.24,0.65,0.00,5.79,31.12.2015,23296145,,21.10.2016
 30/11-8 S (Krafla),4F,10.09,3.77,0.75,0.00,15.28,31.12.2015,20460100,,21.10.2016
 30/11-9 S (Askja),5F,6.82,7.46,1.49,0.00,17.11,31.12.2015,23892654,,21.10.2016
 30/5-3 S (Corvus),5F,0.44,5.49,0.00,0.00,5.94,31.12.2015,5490430,,21.10.2016
 31/2-N-11 H,4F,0.33,0.00,0.00,0.00,0.33,31.12.2015,3465918,,21.10.2016
 33/12-9 S (Skinfaks Sør),5F,0.55,0.45,0.08,0.00,1.16,31.12.2015,21334454,,21.10.2016
 34/10-C-18 A,7F,0.30,0.20,0.04,0.00,0.58,31.12.2015,24618030,,21.10.2016
 34/11-2 S (Nøkken),5F,1.71,3.89,0.48,0.00,6.51,31.12.2015,44648,,21.10.2016
 34/12-1 (Afrodite),5F,1.66,15.90,0.84,0.00,19.15,31.12.2015,4972705,,21.10.2016
 34/4-10 (Beta Brent),7F,0.99,0.15,0.00,0.00,1.14,31.12.2015,1030530,25.02.2016,21.10.2016
 34/4-11 (Beta),5F,3.66,0.34,0.25,0.00,4.47,31.12.2015,17826500,25.02.2016,21.10.2016
 34/6-2 S (Garantiana),5F,12.12,0.49,0.00,0.00,12.61,31.12.2015,22506411,,21.10.2016
 34/8-16 S (Tarvos),7F,0.00,0.56,0.00,0.17,0.74,31.12.2015,27116419,,21.10.2016
 35/10-2,7F,0.00,2.80,0.25,0.31,3.58,31.12.2015,44738,,21.10.2016
 35/11-13 (Astero),4F,1.69,0.30,0.02,0.00,2.03,31.12.2015,3465388,,21.10.2016
 35/11-17 (F-Vest),7F,0.49,0.27,0.00,0.00,0.76,31.12.2015,24624369,,21.10.2016
 35/11-18,7F,2.00,0.00,0.00,0.00,2.00,31.12.2015,27122993,,21.10.2016
 35/12-2 (Grosbeak),7F,4.80,0.70,0.00,0.00,5.50,31.12.2015,5818175,,21.10.2016
 35/2-1 (Peon),5F,0.00,19.54,0.00,0.00,19.54,31.12.2015,3465397,,21.10.2016
 35/9-7 (Skarfjell),4F,11.01,4.23,1.29,0.00,17.70,31.12.2015,21667341,,21.10.2016
 6406/12-3 A (Bue),5F,1.92,0.17,0.00,0.00,2.09,31.12.2015,24689696,,21.10.2016
 6406/12-3 S (Pil),4F,11.10,4.20,0.86,0.00,16.94,31.12.2015,24617697,,21.10.2016
 6406/12-4 S,7F,3.18,0.32,0.00,0.00,3.50,31.12.2015,27051665,,21.10.2016
 6406/2-1 LAVRANS,5F,2.43,9.33,0.77,0.00,13.21,31.12.2015,44834,,21.10.2016
 6406/2-7 (Erlend),5F,0.88,1.02,0.23,0.00,2.34,31.12.2015,916112,,21.10.2016
 6406/2-8 (Imsa Sør),7F,0.48,0.22,0.00,0.00,0.70,31.12.2015,26337302,,21.10.2016
 6406/3-2 (Trestakk),4F,9.36,1.83,0.47,0.00,12.09,31.12.2015,44846,,21.10.2016
 6406/6-4 S,7F,0.00,1.21,0.00,0.56,1.77,31.12.2015,27052647,,21.10.2016
 6406/9-1 LINNORM,5F,0.00,24.35,0.00,0.58,24.93,31.12.2015,3435686,,21.10.2016
 6407/1-6 S,7F,0.00,1.70,0.00,0.40,2.10,31.12.2015,23137754,,21.10.2016
 6407/1-7,7F,0.00,1.10,0.00,0.30,1.40,31.12.2015,24670839,,21.10.2016
 6407/2-5 S (Nona),7F,2.91,1.30,0.00,0.07,4.28,31.12.2015,17115700,25.02.2016,21.10.2016
 6407/2-6 S (Flyndretind),7F,0.00,1.90,0.00,0.50,2.40,31.12.2015,18104628,25.02.2016,21.10.2016
 6407/6-6 MIKKEL SØR,4F,0.63,2.15,0.55,0.00,3.82,31.12.2015,4972665,,21.10.2016
 6407/7-8 (Noatun),5F,0.49,2.03,0.28,0.00,3.05,31.12.2015,5071896,,21.10.2016
 6407/8-6 (Snilehorn),4F,7.45,2.10,0.59,0.00,10.67,31.12.2015,23867160,,21.10.2016
 6407/9-9 (Hasselmus),5F,0.00,0.09,0.04,0.00,0.16,31.12.2015,110258,25.02.2016,21.10.2016
 6506/11-2 (Lange),5F,0.54,0.24,0.06,0.00,0.88,31.12.2015,44894,,21.10.2016
 6506/12-3 (Lysing),5F,1.19,0.17,0.04,0.00,1.43,31.12.2015,116294,25.02.2016,21.10.2016
 6506/6-1 (Victoria),5F,0.00,26.79,0.00,0.00,26.79,31.12.2015,1340823,,21.10.2016
 6506/9-2 S (Fogelberg),4F,1.42,7.56,0.72,0.00,10.35,31.12.2015,18086230,25.02.2016,21.10.2016
 6507/11-6 SIGRID,5F,0.36,1.92,0.33,0.00,2.91,31.12.2015,1630057,,21.10.2016
 6507/3-7 (Idun Nord),7F,0.00,0.80,0.00,0.00,0.80,31.12.2015,5818184,,21.10.2016
 6507/3-8 (Gjøk),5F,0.00,1.41,0.21,0.10,1.91,31.12.2015,17341840,25.02.2016,21.10.2016
 6507/7-13,5F,0.91,0.04,0.00,0.00,0.95,31.12.2015,1628221,,21.10.2016
 6507/7-14 S (Zidane),4F,0.00,17.92,0.23,0.42,18.77,31.12.2015,18229140,,21.10.2016
 6607/12-2 S (Alve Nord),5F,2.14,4.86,0.00,0.00,6.99,31.12.2015,21104629,,21.10.2016
 6608/10-15 (Svale Nord),4F,1.39,0.04,0.01,0.00,1.45,31.12.2015,23761901,,21.10.2016
 6608/10-15 (Svale Nord),5F,0.35,0.04,0.01,0.00,0.41,31.12.2015,23761901,,21.10.2016
 6705/10-1 (Asterix),4F,0.00,17.17,0.00,0.29,17.46,31.12.2015,5466760,,21.10.2016
 6706/11-2 (Gymir),7F,0.00,2.00,0.00,0.00,2.00,31.12.2015,26376004,,21.10.2016
 6706/12-2 (Snefrid Nord),7F,0.00,6.30,0.00,0.00,6.30,31.12.2015,26311166,,21.10.2016
 6706/12-3 (Roald Rygg),7F,0.00,2.40,0.00,0.00,2.40,31.12.2015,26336800,,21.10.2016
 6707/10-3 S (Ivory),7F,0.00,5.10,0.00,0.00,5.10,31.12.2015,25594096,,21.10.2016
 7120/12-2 (Alke Sør),5F,0.00,11.37,0.60,0.41,12.92,31.12.2015,45002,,21.10.2016
 7120/1-3 (Gohta),5F,14.57,6.22,0.00,0.00,20.79,31.12.2015,23761885,,21.10.2016
 7120/2-3 S (Skalle),7F,0.00,5.00,0.00,0.00,5.00,31.12.2015,20485020,,21.10.2016
 7121/5-2 (Snøhvit Beta),7F,0.00,2.50,0.00,0.30,2.80,31.12.2015,45050,,21.10.2016
 7122/6-1 (Tornerose),4F,0.00,3.69,0.00,0.18,3.87,31.12.2015,45068,,21.10.2016
 7220/11-1 (Alta),5F,26.10,9.70,0.00,0.00,35.80,31.12.2015,25288497,,21.10.2016
 7220/8-1 JOHAN CASTBERG,4F,85.87,0.00,0.00,0.00,85.87,31.12.2015,20441001,,21.10.2016
 7220/8-1 JOHAN CASTBERG,7F,0.00,13.96,0.00,0.00,13.96,31.12.2015,20441001,,21.10.2016
 7324/8-1 (Wisting),5F,38.30,0.00,0.00,0.00,38.30,31.12.2015,23761893,,21.10.2016
 8/10-4 S (Butch),4F,6.51,0.29,0.00,0.00,6.80,31.12.2015,21118177,,21.10.2016

