wlbWellboreName,wlbWell,wlbPurpose,wlbEntryDate,wlbField,wlbDiscovery,wlbMainArea,wlbReclassFromWellbore,wlbReentry,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField
1/2-1,1/2-1,WILDCAT,20.03.1989,BLANE,1/2-1 BLANE,NORTH SEA,,NO,1382,43814.0,3437650.0
1/2-2,1/2-2,WILDCAT,14.12.2005,,,NORTH SEA,,NO,5192,,
1/3-1,1/3-1,WILDCAT,06.07.1968,,1/3-1,NORTH SEA,,NO,154,43820.0,
1/3-2,1/3-2,WILDCAT,14.05.1969,,,NORTH SEA,,NO,165,,
1/3-3,1/3-3,WILDCAT,22.08.1982,TAMBAR,1/3-3 TAMBAR,NORTH SEA,,NO,87,43826.0,1028599.0
1/3-4,1/3-4,WILDCAT,15.02.1983,TAMBAR,1/3-3 TAMBAR,NORTH SEA,,NO,2,43826.0,1028599.0
1/3-5,1/3-5,WILDCAT,01.10.1984,,,NORTH SEA,,NO,223,,
1/3-6,1/3-6,WILDCAT,11.03.1991,OSELVAR,1/3-6 OSELVAR,NORTH SEA,,NO,1521,43832.0,5506919.0
1/3-8,1/3-8,WILDCAT,12.12.1996,,,NORTH SEA,,NO,2829,,
1/3-11,1/3-11,WILDCAT,28.05.2008,,1/3-11 (Ipswich),NORTH SEA,,NO,5806,4999216.0,
1/3-12 S,1/3-12,WILDCAT,01.12.2009,,,NORTH SEA,,NO,6260,,
1/5-1,1/5-1,WILDCAT,12.10.1973,,,NORTH SEA,,NO,237,,
1/5-2,1/5-2,WILDCAT,19.10.1973,FLYNDRE,1/5-2 FLYNDRE,NORTH SEA,,NO,238,43838.0,24635035.0
1/5-3 S,1/5-3,WILDCAT,10.06.1998,,1/5-3 S,NORTH SEA,,NO,3257,3000726.0,
1/5-4 S,1/5-4,WILDCAT,15.04.2002,,,NORTH SEA,,NO,4521,,
1/5-5,1/5-5,WILDCAT,24.02.2016,,,NORTH SEA,,NO,7874,,
1/6-1,1/6-1,WILDCAT,10.07.1972,ALBUSKJELL,1/6-1 ALBUSKJELL,NORTH SEA,,NO,239,43844.0,43437.0
1/6-2,1/6-2,WILDCAT,28.11.1972,,,NORTH SEA,,NO,240,,
1/6-4,1/6-4,WILDCAT,29.12.1975,,,NORTH SEA,,NO,242,,
1/6-5,1/6-5,WILDCAT,20.07.1990,,,NORTH SEA,,NO,1508,,
1/6-6,1/6-6,WILDCAT,10.02.1992,,,NORTH SEA,,NO,1839,,
1/6-7,1/6-7,WILDCAT,16.03.1992,,,NORTH SEA,,NO,1928,,
1/9-1,1/9-1,WILDCAT,14.10.1976,,1/9-1 TOMMELITEN ALPHA,NORTH SEA,,NO,243,43850.0,
1/9-1 R,1/9-1,WILDCAT,08.05.1987,,1/9-1 TOMMELITEN ALPHA,NORTH SEA,,YES,1444,43850.0,
1/9-4,1/9-4,WILDCAT,13.08.1977,TOMMELITEN GAMMA,1/9-4 TOMMELITEN GAMMA,NORTH SEA,,NO,247,43856.0,43444.0
1/9-4 R,1/9-4,WILDCAT,21.04.1991,TOMMELITEN GAMMA,1/9-4 TOMMELITEN GAMMA,NORTH SEA,,YES,1727,43856.0,43444.0
1/9-7,1/9-7,WILDCAT,22.03.2003,,1/9-1 TOMMELITEN ALPHA,NORTH SEA,,NO,4652,43850.0,
2/1-1,2/1-1,WILDCAT,28.08.1972,,,NORTH SEA,,NO,249,,
2/1-2,2/1-2,WILDCAT,14.12.1977,,,NORTH SEA,,NO,250,,
2/1-3,2/1-3,WILDCAT,03.11.1979,GYDA,2/1-3 GYDA,NORTH SEA,,NO,251,44012.0,43492.0
2/1-5,2/1-5,WILDCAT,13.11.1982,,,NORTH SEA,,NO,63,,
2/1-7,2/1-7,WILDCAT,06.09.1984,,,NORTH SEA,,NO,137,,
2/1-9,2/1-9,WILDCAT,15.04.1991,GYDA,2/1-9 GYDA SØR,NORTH SEA,,NO,1667,44018.0,43492.0
2/1-10,2/1-10,WILDCAT,09.11.1991,,,NORTH SEA,,NO,1865,,
2/1-11,2/1-11,WILDCAT,14.01.1997,,2/1-11,NORTH SEA,,NO,2699,43988.0,
2/1-12,2/1-12,WILDCAT,08.01.1999,,,NORTH SEA,,NO,3648,,
2/1-13 S,2/1-13,WILDCAT,07.11.2008,,,NORTH SEA,,NO,5975,,
2/1-14 S,2/1-14,WILDCAT,07.12.2008,,,NORTH SEA,,NO,5995,,
2/1-15,2/1-15,WILDCAT,18.07.2013,,,NORTH SEA,,NO,7219,,
2/1-16 S,2/1-16,WILDCAT,10.05.2013,,,NORTH SEA,,NO,7180,,
2/2-1,2/2-1,WILDCAT,09.04.1982,,2/2-1 (Møyfrid),NORTH SEA,,NO,46,44024.0,
2/2-2,2/2-2,WILDCAT,04.07.1982,,2/2-2 (Desmond),NORTH SEA,,NO,80,44030.0,
2/2-3,2/2-3,WILDCAT,04.02.1983,,,NORTH SEA,,NO,3,,
2/2-5,2/2-5,WILDCAT,07.11.1991,,2/2-5 (Bumblebee),NORTH SEA,,NO,1846,44036.0,
2/2-6,2/2-6,WILDCAT,27.03.2010,,,NORTH SEA,,NO,6346,,
2/3-1,2/3-1,WILDCAT,10.02.1969,,2/3-1 (Løven),NORTH SEA,,NO,162,44042.0,
2/3-3,2/3-3,WILDCAT,08.10.1971,,,NORTH SEA,,NO,198,,
2/3-4,2/3-4,WILDCAT,28.05.1984,,,NORTH SEA,,NO,129,,
2/4-1,2/4-1,WILDCAT,25.08.1969,,,NORTH SEA,,NO,895,,
2/4-2,2/4-2,WILDCAT,18.09.1969,EKOFISK,2/4-2 EKOFISK,NORTH SEA,,NO,172,44072.0,43506.0
2/4-6,2/4-6,WILDCAT,28.08.1970,VEST EKOFISK,2/4-6 VEST EKOFISK,NORTH SEA,,NO,181,44078.0,43513.0
2/4-10,2/4-10,WILDCAT,13.10.1973,,2/4-10,NORTH SEA,,NO,254,44048.0,
2/4-11,2/4-11,WILDCAT,25.12.1973,,2/4-11 (Espen),NORTH SEA,,NO,255,44054.0,
2/4-12,2/4-12,WILDCAT,28.07.1975,,,NORTH SEA,,NO,256,,
2/4-13,2/4-13,WILDCAT,03.09.1988,,,NORTH SEA,,NO,1313,,
2/4-14,2/4-14,WILDCAT,06.10.1988,,,NORTH SEA,,NO,1343,,
2/4-14 R,2/4-14,WILDCAT,01.05.1989,,,NORTH SEA,,YES,1440,,
2/4-14 R2,2/4-14,WILDCAT,06.04.1990,,,NORTH SEA,,YES,1548,,
2/4-15 S,2/4-15,WILDCAT,31.01.1989,,,NORTH SEA,,NO,1371,,
2/4-15 SR,2/4-15,WILDCAT,03.10.2003,,,NORTH SEA,,YES,4842,,
2/4-16,2/4-16,WILDCAT,07.05.1991,,,NORTH SEA,,NO,1702,,
2/4-16 R,2/4-16,WILDCAT,04.06.1992,,,NORTH SEA,,YES,1956,,
2/4-17,2/4-17,WILDCAT,21.07.1991,,2/4-17 TJALVE,NORTH SEA,,NO,1792,44066.0,
2/4-18,2/4-18,WILDCAT,26.04.1993,,,NORTH SEA,,NO,2134,,
2/4-18 R,2/4-18,WILDCAT,19.02.1994,,,NORTH SEA,,YES,2253,,
2/4-20,2/4-20,WILDCAT,22.09.2007,,,NORTH SEA,,NO,5556,,
2/4-21,2/4-21,WILDCAT,19.01.2012,,2/4-21 (King Lear),NORTH SEA,,NO,6736,21669700.0,
2/4-22 S,2/4-22,WILDCAT,10.09.2014,,2/4-22 S (Romeo),NORTH SEA,,NO,7535,26264813.0,
2/4-23 S,2/4-23,WILDCAT,13.03.2015,,2/4-23 S (Julius),NORTH SEA,,NO,7657,26463461.0,
2/5-1,2/5-1,WILDCAT,01.08.1970,TOR,2/5-1 TOR,NORTH SEA,,NO,178,44084.0,43520.0
2/5-3,2/5-3,WILDCAT,02.04.1972,,2/5-3 (Sørøst Tor),NORTH SEA,,NO,258,44090.0,
2/5-4,2/5-4,WILDCAT,03.09.1972,,2/5-4 (Siv),NORTH SEA,,NO,259,44096.0,
2/5-6,2/5-6,WILDCAT,14.05.1978,,,NORTH SEA,,NO,261,,
2/5-7,2/5-7,WILDCAT,11.08.1983,,2/5-7,NORTH SEA,,NO,25,44102.0,
2/5-9,2/5-9,WILDCAT,10.09.1991,,,NORTH SEA,,NO,1834,,
2/5-10,2/5-10,WILDCAT,23.05.1993,,,NORTH SEA,,NO,2044,,
2/5-10 A,2/5-10,WILDCAT,27.08.1993,,,NORTH SEA,,NO,2194,,
2/5-11,2/5-11,WILDCAT,06.09.1997,,2/5-11 (Tjatse),NORTH SEA,,NO,3084,46293.0,
2/5-12,2/5-12,WILDCAT,24.11.2001,,,NORTH SEA,,NO,4433,,
2/5-13,2/5-13,WILDCAT,25.09.2008,,,NORTH SEA,,NO,5948,,
2/5-14 S,2/5-14,WILDCAT,30.12.2008,,,NORTH SEA,,NO,5958,,
2/6-1,2/6-1,WILDCAT,21.04.1969,,,NORTH SEA,,NO,160,,
2/6-2,2/6-2,WILDCAT,03.01.1980,,,NORTH SEA,,NO,224,,
2/6-3,2/6-3,WILDCAT,09.11.1982,,,NORTH SEA,,NO,64,,
2/6-4 S,2/6-4,WILDCAT,08.04.1990,,,NORTH SEA,,NO,1527,,
2/6-5,2/6-5,WILDCAT,17.11.1996,,2/6-5,NORTH SEA,,NO,2885,44108.0,
2/7-1,2/7-1,WILDCAT,03.08.1970,ELDFISK,2/7-1 ELDFISK,NORTH SEA,,NO,179,44114.0,43527.0
2/7-2,2/7-2,WILDCAT,13.12.1970,,2/7-2,NORTH SEA,,NO,187,44126.0,
2/7-3,2/7-3,WILDCAT,14.04.1972,,,NORTH SEA,,NO,262,,
2/7-4,2/7-4,WILDCAT,23.06.1972,EDDA,2/7-4 EDDA,NORTH SEA,,NO,263,44150.0,43541.0
2/7-8,2/7-8,WILDCAT,08.06.1973,ELDFISK,2/7-8,NORTH SEA,,NO,267,44156.0,43527.0
2/7-9,2/7-9,WILDCAT,25.12.1973,EMBLA,2/7-20 EMBLA,NORTH SEA,,NO,268,44132.0,43534.0
2/7-11,2/7-11,WILDCAT,24.02.1975,,,NORTH SEA,,NO,270,,
2/7-12,2/7-12,WILDCAT,17.12.1978,,,NORTH SEA,,NO,271,,
2/7-13,2/7-13,WILDCAT,01.02.1979,,,NORTH SEA,,NO,272,,
2/7-16,2/7-16,WILDCAT,20.03.1980,,,NORTH SEA,,NO,232,,
2/7-17,2/7-17,WILDCAT,24.06.1980,,,NORTH SEA,,NO,200,,
2/7-18,2/7-18,WILDCAT,20.08.1980,,,NORTH SEA,,NO,206,,
2/7-19,2/7-19,WILDCAT,02.09.1980,,2/7-19 (Ebba),NORTH SEA,,NO,1367,44120.0,
2/7-19 R,2/7-19,WILDCAT,15.01.1990,,2/7-19 (Ebba),NORTH SEA,,YES,1512,44120.0,
2/7-20,2/7-20,WILDCAT,15.10.1987,EMBLA,2/7-20 EMBLA,NORTH SEA,,NO,1062,44132.0,43534.0
2/7-20 R,2/7-20,WILDCAT,14.10.1991,EMBLA,2/7-20 EMBLA,NORTH SEA,2/7-D-20   ,YES,1875,44132.0,43534.0
2/7-22,2/7-22,WILDCAT,17.05.1990,,2/7-22,NORTH SEA,,NO,1495,44138.0,
2/7-24,2/7-24,WILDCAT,07.11.1990,,,NORTH SEA,,NO,1613,,
2/7-29,2/7-29,WILDCAT,18.09.1993,,2/7-29,NORTH SEA,,NO,2124,44144.0,
2/7-30,2/7-30,WILDCAT,27.02.1995,,,NORTH SEA,,NO,2394,,
2/7-31,2/7-31,WILDCAT,13.01.1999,,2/7-31,NORTH SEA,,NO,3573,105311.0,
2/8-1,2/8-1,WILDCAT,28.11.1967,,,NORTH SEA,,NO,124,,
2/8-2,2/8-2,WILDCAT,28.06.1970,,,NORTH SEA,,NO,155,,
2/8-3,2/8-3,WILDCAT,16.06.1972,,,NORTH SEA,,NO,117,,
2/8-5,2/8-5,WILDCAT,11.04.1974,,,NORTH SEA,,NO,275,,
2/8-6,2/8-6,WILDCAT,07.04.1975,VALHALL,2/8-6 VALHALL,NORTH SEA,,NO,276,44162.0,43548.0
2/8-7,2/8-7,WILDCAT,23.07.1975,,,NORTH SEA,,NO,277,,
2/8-12 S,2/8-12,WILDCAT,07.11.1988,,,NORTH SEA,,NO,1351,,
2/8-13,2/8-13,WILDCAT,29.04.1989,,,NORTH SEA,,NO,1383,,
2/8-14,2/8-14,WILDCAT,14.08.1990,,,NORTH SEA,,NO,1552,,
2/8-15,2/8-15,WILDCAT,27.11.1995,,,NORTH SEA,,NO,2636,,
2/8-16 S,2/8-16,WILDCAT,08.02.1997,,,NORTH SEA,,NO,3008,,
2/8-17 A,2/8-17,WILDCAT,18.01.1998,,,NORTH SEA,,NO,3328,,
2/8-17 S,2/8-17,WILDCAT,04.12.1997,,,NORTH SEA,,NO,3210,,
2/8-18 S,2/8-18,WILDCAT,23.05.2012,,,NORTH SEA,,NO,6747,,
2/9-1,2/9-1,WILDCAT,03.11.1972,,,NORTH SEA,,NO,282,,
2/9-2,2/9-2,WILDCAT,07.07.1979,,,NORTH SEA,,NO,283,,
2/9-3,2/9-3,WILDCAT,13.09.1989,,,NORTH SEA,,NO,1443,,
2/9-4,2/9-4,WILDCAT,20.03.2008,,,NORTH SEA,,NO,5801,,
2/9-5 S,2/9-5,WILDCAT,21.07.2014,,,NORTH SEA,,NO,7502,,
2/10-1 S,2/10-1,WILDCAT,16.09.1975,,,NORTH SEA,,NO,284,,
2/10-2,2/10-2,WILDCAT,16.02.1993,,,NORTH SEA,,NO,2050,,
2/11-2,2/11-2,WILDCAT,06.11.1974,HOD,2/11-2 HOD,NORTH SEA,,NO,285,44000.0,43485.0
2/11-3,2/11-3,WILDCAT,10.10.1977,HOD,2/11-10 S,NORTH SEA,,NO,286,43994.0,43485.0
2/11-7,2/11-7,WILDCAT,16.04.1986,,,NORTH SEA,,NO,902,,
2/11-8,2/11-8,WILDCAT,03.04.1991,,,NORTH SEA,,NO,1715,,
2/11-9,2/11-9,WILDCAT,24.07.1993,,,NORTH SEA,,NO,2153,,
2/11-10 S,2/11-10,WILDCAT,28.02.1994,HOD,2/11-10 S,NORTH SEA,2/11-A-5   ,NO,2297,43994.0,43485.0
2/11-11,2/11-11,WILDCAT,21.06.2015,,,NORTH SEA,,NO,7712,,
2/12-1,2/12-1,WILDCAT,14.10.1986,,2/12-1 MJØLNER,NORTH SEA,,NO,1014,44006.0,
3/4-1,3/4-1,WILDCAT,11.01.1994,,,NORTH SEA,,NO,2222,,
3/4-2 S,3/4-2,WILDCAT,18.07.2012,,,NORTH SEA,,NO,6622,,
3/5-1,3/5-1,WILDCAT,03.05.1978,,,NORTH SEA,,NO,290,,
3/5-2,3/5-2,WILDCAT,29.06.1978,,,NORTH SEA,,NO,291,,
3/6-1,3/6-1,WILDCAT,20.06.2000,,,NORTH SEA,,NO,4117,,
3/7-1,3/7-1,WILDCAT,01.08.1973,,,NORTH SEA,,NO,292,,
3/7-2,3/7-2,WILDCAT,30.03.1981,,,NORTH SEA,,NO,220,,
3/7-3,3/7-3,WILDCAT,21.06.1981,,,NORTH SEA,,NO,293,,
3/7-4,3/7-4,WILDCAT,20.09.1989,TRYM,3/7-4 TRYM,NORTH SEA,,NO,1467,44354.0,18081500.0
3/7-5,3/7-5,WILDCAT,06.12.1991,,,NORTH SEA,,NO,1759,,
3/7-6,3/7-6,WILDCAT,08.10.1996,,,NORTH SEA,,NO,2891,,
3/7-7,3/7-7,WILDCAT,03.09.2008,,,NORTH SEA,,NO,5932,,
3/7-8 S,3/7-8,WILDCAT,09.12.2012,,3/7-8 S (Trym Sør),NORTH SEA,,NO,7058,23286464.0,
3/7-9 S,3/7-9,WILDCAT,14.03.2013,,,NORTH SEA,,NO,7137,,
3/7-10 S,3/7-10,WILDCAT,23.07.2015,,,NORTH SEA,,NO,7749,,
3/8-1,3/8-1,WILDCAT,29.10.2010,,,NORTH SEA,,NO,6476,,
4/4-1,4/4-1,WILDCAT,13.09.2013,,,NORTH SEA,,NO,7270,,
6/3-1,6/3-1,WILDCAT,02.11.1984,GAUPE,6/3-1 PI,NORTH SEA,,NO,450,44804.0,18161341.0
6/3-2,6/3-2,WILDCAT,21.11.1985,,,NORTH SEA,,NO,862,,
7/1-1,7/1-1,WILDCAT,03.07.1971,,,NORTH SEA,,NO,192,,
7/1-2 S,7/1-2,WILDCAT,20.03.2008,,,NORTH SEA,,NO,5793,,
7/3-1,7/3-1,WILDCAT,07.04.1969,,,NORTH SEA,,NO,164,,
7/4-1,7/4-1,WILDCAT,05.07.1993,,,NORTH SEA,,NO,2136,,
7/4-3,7/4-3,WILDCAT,05.04.2013,,,NORTH SEA,,NO,7121,,
7/7-1,7/7-1,WILDCAT,30.12.1989,,,NORTH SEA,,NO,1492,,
7/7-2,7/7-2,WILDCAT,20.01.1992,BRYNHILD,7/7-2 BRYNHILD,NORTH SEA,,NO,1868,44984.0,21123063.0
7/7-4,7/7-4,WILDCAT,29.08.2007,,,NORTH SEA,,NO,5570,,
7/8-1,7/8-1,WILDCAT,31.08.1968,,,NORTH SEA,,NO,158,,
7/8-2,7/8-2,WILDCAT,24.07.1973,,,NORTH SEA,,NO,294,,
7/8-3,7/8-3,WILDCAT,12.09.1983,,7/8-3 (Krabbe),NORTH SEA,,NO,28,44990.0,
7/8-4,7/8-4,WILDCAT,11.12.1984,,,NORTH SEA,,NO,448,,
7/8-6 S,7/8-6,WILDCAT,09.11.2012,,,NORTH SEA,,NO,7053,,
7/9-1,7/9-1,WILDCAT,22.04.1971,,,NORTH SEA,,NO,191,,
7/11-1,7/11-1,WILDCAT,26.02.1968,COD,7/11-1 COD,NORTH SEA,,NO,149,44960.0,43785.0
7/11-4,7/11-4,WILDCAT,02.07.1969,MIME,7/11-5 MIME,NORTH SEA,,NO,167,44966.0,43792.0
7/11-5,7/11-5,WILDCAT,09.02.1982,MIME,7/11-5 MIME,NORTH SEA,,NO,42,44966.0,43792.0
7/11-6,7/11-6,WILDCAT,09.08.1982,,,NORTH SEA,,NO,86,,
7/11-7,7/11-7,WILDCAT,29.12.1982,COD,7/11-7,NORTH SEA,,NO,57,23296230.0,43785.0
7/11-7 R,7/11-7,WILDCAT,29.09.1984,COD,7/11-1 COD,NORTH SEA,7/11-A-6   ,YES,519,44960.0,43785.0
7/11-8,7/11-8,WILDCAT,22.09.1983,,,NORTH SEA,,NO,30,,
7/11-9,7/11-9,WILDCAT,26.11.1985,,,NORTH SEA,,NO,856,,
7/11-12 A,7/11-12,WILDCAT,08.08.2011,,7/11-12 A,NORTH SEA,,NO,6655,21139643.0,
7/11-12 S,7/11-12,WILDCAT,27.03.2011,,,NORTH SEA,,NO,6549,,
7/11-13,7/11-13,WILDCAT,08.09.2012,,,NORTH SEA,,NO,6955,,
7/12-1 S,7/12-1,WILDCAT,31.08.1968,,,NORTH SEA,,NO,157,,
7/12-2,7/12-2,WILDCAT,04.07.1976,ULA,7/12-2 ULA,NORTH SEA,,NO,295,44972.0,43800.0
7/12-2 R,7/12-2,WILDCAT,22.03.1984,ULA,7/12-2 ULA,NORTH SEA,,YES,454,44972.0,43800.0
7/12-5,7/12-5,WILDCAT,06.02.1981,,7/12-5 (Ula North),NORTH SEA,,NO,299,44978.0,
7/12-10,7/12-10,WILDCAT,08.07.1991,,7/12-5 (Ula North),NORTH SEA,,NO,1557,44978.0,
7/12-11,7/12-11,WILDCAT,31.08.1991,,,NORTH SEA,,NO,1787,,
7/12-12 S,7/12-12,WILDCAT,09.10.1995,,,NORTH SEA,,NO,2695,,
7/12-13 S,7/12-13,WILDCAT,29.01.2012,,,NORTH SEA,,NO,6727,,
8/1-1,8/1-1,WILDCAT,02.12.1971,,,NORTH SEA,,NO,301,,
8/3-1,8/3-1,WILDCAT,19.07.1966,,,NORTH SEA,,NO,142,,
8/3-2,8/3-2,WILDCAT,04.10.1982,,,NORTH SEA,,NO,89,,
8/4-1,8/4-1,WILDCAT,21.06.1977,,,NORTH SEA,,NO,302,,
8/5-1,8/5-1,WILDCAT,10.01.2013,,,NORTH SEA,,NO,7112,,
8/9-1,8/9-1,WILDCAT,22.12.1975,,,NORTH SEA,,NO,303,,
8/10-1,8/10-1,WILDCAT,30.05.1969,,,NORTH SEA,,NO,166,,
8/10-2,8/10-2,WILDCAT,05.02.1980,,,NORTH SEA,,NO,226,,
8/10-3,8/10-3,WILDCAT,02.06.2010,,,NORTH SEA,,NO,6098,,
8/10-4 S,8/10-4,WILDCAT,15.08.2011,,8/10-4 S ODA,NORTH SEA,,NO,6630,21118177.0,
8/10-5 A,8/10-5,WILDCAT,06.03.2014,,,NORTH SEA,,NO,7419,,
8/10-5 S,8/10-5,WILDCAT,04.01.2014,,,NORTH SEA,,NO,7291,,
8/10-6 S,8/10-6,WILDCAT,29.05.2014,,,NORTH SEA,,NO,7485,,
8/11-1,8/11-1,WILDCAT,24.04.1975,,,NORTH SEA,,NO,304,,
8/12-1,8/12-1,WILDCAT,31.05.1971,,,NORTH SEA,,NO,193,,
9/1-1 S,9/1-1,WILDCAT,01.10.2011,,,NORTH SEA,,NO,6398,,
9/2-1,9/2-1,WILDCAT,21.02.1987,YME,9/2-1 YME,NORTH SEA,,NO,1038,45098.0,43807.0
9/2-2,9/2-2,WILDCAT,08.08.1987,,,NORTH SEA,,NO,1135,,
9/2-3,9/2-3,WILDCAT,04.12.1989,YME,9/2-3,NORTH SEA,,NO,1294,45104.0,43807.0
9/2-6 S,9/2-6,WILDCAT,19.08.1996,YME,9/2-6 S,NORTH SEA,9/2-A-6   ,NO,2867,45110.0,43807.0
9/2-7 S,9/2-7,WILDCAT,22.04.1997,YME,9/2-7 S,NORTH SEA,9/2-B-3 H  ,NO,3087,45116.0,43807.0
9/2-8 S,9/2-8,WILDCAT,24.06.1997,,,NORTH SEA,9/2-A-3   ,NO,3126,,
9/2-9 S,9/2-9,WILDCAT,29.06.1999,YME,9/2-9 S,NORTH SEA,9/2-B-4 H  ,NO,3703,112160.0,43807.0
9/2-11,9/2-11,WILDCAT,09.03.2010,,,NORTH SEA,,NO,6341,,
9/3-1,9/3-1,WILDCAT,29.07.1986,,,NORTH SEA,,NO,921,,
9/3-2,9/3-2,WILDCAT,23.10.2005,,,NORTH SEA,,NO,5173,,
9/4-1,9/4-1,WILDCAT,31.03.1968,,,NORTH SEA,,NO,150,,
9/4-2,9/4-2,WILDCAT,19.07.1970,,,NORTH SEA,,NO,176,,
9/4-3,9/4-3,WILDCAT,14.07.1972,,,NORTH SEA,,NO,152,,
9/4-4,9/4-4,WILDCAT,19.07.1977,,,NORTH SEA,,NO,305,,
9/4-5,9/4-5,WILDCAT,08.01.2006,,,NORTH SEA,,NO,5134,,
9/8-1,9/8-1,WILDCAT,23.05.1968,,,NORTH SEA,,NO,145,,
9/10-1,9/10-1,WILDCAT,30.08.1970,,,NORTH SEA,,NO,183,,
9/11-1,9/11-1,WILDCAT,03.07.1971,,,NORTH SEA,,NO,194,,
9/12-1,9/12-1,WILDCAT,28.03.1969,,,NORTH SEA,,NO,163,,
10/4-1,10/4-1,WILDCAT,22.06.2015,,,NORTH SEA,,NO,7724,,
10/5-1,10/5-1,WILDCAT,31.05.1976,,,NORTH SEA,,NO,306,,
10/7-1,10/7-1,WILDCAT,28.06.1992,,,NORTH SEA,,NO,1972,,
10/8-1,10/8-1,WILDCAT,12.12.1970,,,NORTH SEA,,NO,175,,
11/5-1,11/5-1,WILDCAT,07.08.2007,,,NORTH SEA,,NO,5596,,
11/9-1,11/9-1,WILDCAT,16.01.1976,,,NORTH SEA,,NO,307,,
11/10-1,11/10-1,WILDCAT,02.08.1969,,,NORTH SEA,,NO,170,,
15/2-1,15/2-1,WILDCAT,26.11.1981,,,NORTH SEA,,NO,308,,
15/3-1 S,15/3-1,WILDCAT,27.11.1974,GUDRUN,15/3-1 S GUDRUN,NORTH SEA,,NO,309,43880.0,18116481.0
15/3-2,15/3-2,WILDCAT,29.10.1976,,,NORTH SEA,,NO,310,,
15/3-2 R,15/3-2,WILDCAT,26.07.1977,,,NORTH SEA,,YES,311,,
15/3-4,15/3-4,WILDCAT,03.10.1981,,15/3-4 (Sigrun),NORTH SEA,,NO,314,43886.0,
15/3-6,15/3-6,WILDCAT,14.12.1998,,,NORTH SEA,,NO,3250,,
15/3-9,15/3-9,WILDCAT,19.05.2010,GUDRUN,15/3-9,NORTH SEA,,NO,6354,18212532.0,18116481.0
15/5-1,15/5-1,WILDCAT,26.11.1977,GINA KROG,15/5-1 GINA KROG,NORTH SEA,,NO,315,43892.0,23384544.0
15/5-2,15/5-2,WILDCAT,16.08.1978,,15/5-2 EIRIN,NORTH SEA,,NO,316,43898.0,
15/5-3,15/5-3,WILDCAT,21.08.1980,,,NORTH SEA,,NO,207,,
15/5-5,15/5-5,WILDCAT,31.08.1995,GLITNE,15/5-5 GLITNE,NORTH SEA,,NO,2635,43904.0,1272071.0
15/6-1,15/6-1,WILDCAT,07.08.1971,,,NORTH SEA,,NO,197,,
15/6-3,15/6-3,WILDCAT,05.09.1974,SLEIPNER VEST,15/6-3 SLEIPNER VEST,NORTH SEA,,NO,318,43910.0,43457.0
15/6-4,15/6-4,WILDCAT,28.06.1976,,,NORTH SEA,,NO,319,,
15/6-7,15/6-7,WILDCAT,24.04.1993,,,NORTH SEA,,NO,2084,,
15/6-8 A,15/6-8,WILDCAT,05.04.1997,,,NORTH SEA,,NO,3077,,
15/6-8 S,15/6-8,WILDCAT,18.02.1997,,,NORTH SEA,,NO,3014,,
15/6-10,15/6-10,WILDCAT,07.02.2009,,15/6-10 (Freke),NORTH SEA,,NO,6030,5490439.0,
15/6-12,15/6-12,WILDCAT,22.12.2010,,15/6-12 (McHenry),NORTH SEA,,NO,6518,20415304.0,
15/6-13,15/6-13,WILDCAT,13.04.2015,,15/6-13,NORTH SEA,,NO,7667,26443908.0,
15/8-1,15/8-1,WILDCAT,18.07.1981,,15/8-1 UTGARD,NORTH SEA,,NO,321,43916.0,
15/8-2,15/8-2,WILDCAT,20.08.2011,,,NORTH SEA,,NO,6681,,
15/9-9,15/9-9,WILDCAT,04.05.1981,SLEIPNER ØST,15/9-9 SLEIPNER ØST,NORTH SEA,,NO,328,43946.0,43478.0
