wlbWellboreName,wlbWell,wlbPurpose,wlbEntryDate,wlbField,wlbDiscovery,wlbMainArea,wlbReclassFromWellbore,wlbReentry,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField
15/9-10,15/9-10,WILDCAT,15.09.1981,,,NORTH SEA,,NO,69,,
15/9-14,15/9-14,WILDCAT,01.05.1982,,,NORTH SEA,,NO,71,,
15/9-15,15/9-15,WILDCAT,28.05.1982,GUNGNE,15/9-15 GUNGNE,NORTH SEA,,NO,74,43922.0,43464.0
15/9-17,15/9-17,WILDCAT,09.12.1982,SLEIPNER ØST,15/9-17 LOKE,NORTH SEA,,NO,60,43928.0,43478.0
15/9-17 R,15/9-17,WILDCAT,28.04.1991,SLEIPNER ØST,15/9-17 LOKE,NORTH SEA,,YES,1768,43928.0,43478.0
15/9-18,15/9-18,WILDCAT,16.12.1983,,,NORTH SEA,,NO,36,,
15/9-19 S,15/9-19,WILDCAT,18.11.1992,VOLVE,15/9-19 S VOLVE,NORTH SEA,,NO,2043,43934.0,3420717.0
15/9-19 SR,15/9-19,WILDCAT,17.02.1993,VOLVE,15/9-19 S VOLVE,NORTH SEA,,YES,2105,43934.0,3420717.0
15/9-19 SR2,15/9-19,WILDCAT,18.07.1997,VOLVE,15/9-19 S VOLVE,NORTH SEA,,YES,3180,43934.0,3420717.0
15/9-20 S,15/9-20,WILDCAT,16.02.1994,GUNGNE,15/9-20 S,NORTH SEA,15/9-A-22   ,NO,2319,43940.0,43464.0
15/9-22,15/9-22,WILDCAT,01.01.2006,,,NORTH SEA,,NO,5174,,
15/9-23,15/9-23,WILDCAT,18.11.2009,,,NORTH SEA,,NO,6186,,
15/9-24,15/9-24,WILDCAT,18.05.2010,,,NORTH SEA,,NO,6381,,
15/12-1,15/12-1,WILDCAT,07.07.1975,,,NORTH SEA,,NO,94,,
15/12-2,15/12-2,WILDCAT,07.01.1976,,,NORTH SEA,,NO,331,,
15/12-3,15/12-3,WILDCAT,21.06.1980,,,NORTH SEA,,NO,199,,
15/12-4,15/12-4,WILDCAT,13.09.1984,VARG,15/12-4 VARG,NORTH SEA,,NO,438,43868.0,43451.0
15/12-7 S,15/12-7,WILDCAT,06.11.1990,,,NORTH SEA,,NO,1680,,
15/12-8,15/12-8,WILDCAT,05.06.1991,,15/12-8,NORTH SEA,,NO,1778,43874.0,
15/12-11 S,15/12-11,WILDCAT,10.04.1997,,,NORTH SEA,,NO,3074,,
15/12-12,15/12-12,WILDCAT,25.12.2000,REV,15/12-12 REV,NORTH SEA,15/12-C-1 H  ,NO,3391,1626017.0,4467554.0
15/12-15,15/12-15,WILDCAT,19.11.2004,,,NORTH SEA,,NO,5017,,
15/12-18 A,15/12-18,WILDCAT,08.11.2007,,15/12-18 A,NORTH SEA,,NO,5608,4554325.0,
15/12-18 S,15/12-18,WILDCAT,05.09.2007,,15/12-18 S (Storskrymten),NORTH SEA,,NO,5607,4554315.0,
15/12-19,15/12-19,WILDCAT,18.02.2008,GAUPE,15/12-19,NORTH SEA,,NO,5705,4972729.0,18161341.0
15/12-20 S,15/12-20,WILDCAT,28.05.2008,VARG,15/12-20 S,NORTH SEA,15/12-A-7 A  ,NO,5824,5010042.0,43451.0
15/12-21,15/12-21,WILDCAT,15.03.2009,,15/12-21 (Grevling),NORTH SEA,,NO,6047,5490719.0,
15/12-22,15/12-22,WILDCAT,17.04.2010,,,NORTH SEA,,NO,6326,,
15/12-24 S,15/12-24,WILDCAT,15.04.2015,,,NORTH SEA,,NO,7661,,
16/1-1,16/1-1,WILDCAT,26.09.1967,,,NORTH SEA,,NO,147,,
16/1-3,16/1-3,WILDCAT,29.07.1982,,,NORTH SEA,,NO,84,,
16/1-4,16/1-4,WILDCAT,17.03.1993,,16/1-4,NORTH SEA,,NO,2072,3000757.0,
16/1-5,16/1-5,WILDCAT,12.10.1998,,,NORTH SEA,,NO,3279,,
16/1-5 A,16/1-5,WILDCAT,21.11.1998,,,NORTH SEA,,NO,3626,,
16/1-6 S,16/1-6,WILDCAT,22.05.2003,,16/1-6 S (Verdandi),NORTH SEA,,NO,4711,2449370.0,
16/1-7,16/1-7,WILDCAT,29.04.2004,IVAR AASEN,16/1-7,NORTH SEA,,NO,4928,2819923.0,23384520.0
16/1-8,16/1-8,WILDCAT,08.09.2007,EDVARD GRIEG,16/1-8 EDVARD GRIEG,NORTH SEA,,NO,5612,4530554.0,21675433.0
16/1-8 R,16/1-8,WILDCAT,02.10.2009,EDVARD GRIEG,16/1-8 EDVARD GRIEG,NORTH SEA,,YES,6226,4530554.0,21675433.0
16/1-9,16/1-9,WILDCAT,19.02.2008,IVAR AASEN,16/1-9 IVAR AASEN,NORTH SEA,,NO,5773,4972697.0,23384520.0
16/1-12,16/1-12,WILDCAT,29.07.2009,,16/1-12 (Rolvsnes),NORTH SEA,,NO,6166,17196400.0,
16/1-14,16/1-14,WILDCAT,26.09.2010,IVAR AASEN,16/1-9 IVAR AASEN,NORTH SEA,,NO,6399,4972697.0,23384520.0
16/1-16,16/1-16,WILDCAT,23.10.2012,IVAR AASEN,16/1-9 IVAR AASEN,NORTH SEA,,NO,6823,4972697.0,23384520.0
16/1-17,16/1-17,WILDCAT,11.02.2013,,,NORTH SEA,,NO,7113,,
16/1-19 S,16/1-19,WILDCAT,03.09.2013,IVAR AASEN,16/1-9 IVAR AASEN,NORTH SEA,,NO,7255,4972697.0,23384520.0
16/1-20 A,16/1-20,WILDCAT,13.08.2013,,,NORTH SEA,,NO,7256,,
16/1-24,16/1-24,WILDCAT,15.02.2015,,,NORTH SEA,,NO,7616,,
16/1-26 S,16/1-26,WILDCAT,04.04.2016,,16/1-26 S,NORTH SEA,,NO,7915,28245194.0,
16/2-1,16/2-1,WILDCAT,11.07.1967,,,NORTH SEA,,NO,144,,
16/2-2,16/2-2,WILDCAT,17.09.2001,,,NORTH SEA,,NO,4408,,
16/2-3,16/2-3,WILDCAT,01.08.2007,,16/2-3 (Ragnarock),NORTH SEA,,NO,5551,4527337.0,
16/2-4,16/2-4,WILDCAT,08.10.2007,,16/2-4,NORTH SEA,,NO,5625,17237080.0,
16/2-5,16/2-5,WILDCAT,22.02.2009,,16/2-5,NORTH SEA,,NO,6042,5490457.0,
16/2-6,16/2-6,WILDCAT,20.07.2010,JOHAN SVERDRUP,16/2-6 JOHAN SVERDRUP,NORTH SEA,,NO,6374,18387202.0,26376286.0
16/2-20 A,16/2-20,WILDCAT,21.11.2013,,,NORTH SEA,,NO,7316,,
16/2-20 S,16/2-20,WILDCAT,30.09.2013,,,NORTH SEA,,NO,7181,,
16/3-1,16/3-1,WILDCAT,31.01.1976,,,NORTH SEA,,NO,451,,
16/3-2,16/3-2,WILDCAT,11.02.1976,,,NORTH SEA,,NO,334,,
16/3-3,16/3-3,WILDCAT,24.07.1989,,,NORTH SEA,,NO,1415,,
16/4-1,16/4-1,WILDCAT,08.09.1984,,,NORTH SEA,,NO,229,,
16/4-2,16/4-2,WILDCAT,29.06.1990,,,NORTH SEA,,NO,1560,,
16/4-3,16/4-3,WILDCAT,05.12.2000,,,NORTH SEA,,NO,4194,,
16/4-4,16/4-4,WILDCAT,28.12.2006,,16/4-4 (Biotitt),NORTH SEA,,NO,5441,4445817.0,
16/4-5,16/4-5,WILDCAT,04.02.2010,,,NORTH SEA,,NO,6216,,
16/4-6 S,16/4-6,WILDCAT,11.03.2013,,16/4-6 S (Luno II),NORTH SEA,,NO,7098,23295901.0,
16/4-7,16/4-7,WILDCAT,23.07.2013,,,NORTH SEA,,NO,7208,,
16/4-10,16/4-10,WILDCAT,24.01.2016,,,NORTH SEA,,NO,7731,,
16/5-1,16/5-1,WILDCAT,17.01.1971,,,NORTH SEA,,NO,189,,
16/5-6,16/5-6,WILDCAT,22.06.2016,,,NORTH SEA,,NO,7962,,
16/6-1,16/6-1,WILDCAT,07.11.1967,,,NORTH SEA,,NO,148,,
16/7-1,16/7-1,WILDCAT,11.08.1967,,,NORTH SEA,,NO,146,,
16/7-2,16/7-2,WILDCAT,11.01.1982,,16/7-2,NORTH SEA,,NO,40,43952.0,
16/7-3,16/7-3,WILDCAT,11.06.1982,,,NORTH SEA,,NO,75,,
16/7-4,16/7-4,WILDCAT,15.10.1982,SIGYN,16/7-4 SIGYN,NORTH SEA,,NO,91,45625.0,1630100.0
16/7-5,16/7-5,WILDCAT,02.07.1984,,,NORTH SEA,,NO,134,,
16/7-6,16/7-6,WILDCAT,27.06.1997,,,NORTH SEA,,NO,3067,,
16/7-7 S,16/7-7,WILDCAT,20.10.1997,SIGYN,16/7-7 S,NORTH SEA,,NO,3244,45641.0,1630100.0
16/7-8 S,16/7-8,WILDCAT,17.12.2002,,,NORTH SEA,,NO,4612,,
16/7-9,16/7-9,WILDCAT,05.12.2010,,,NORTH SEA,,NO,6382,,
16/7-10,16/7-10,WILDCAT,09.07.2011,,16/7-10,NORTH SEA,,NO,6607,21060729.0,
16/7-11,16/7-11,WILDCAT,13.08.2015,,,NORTH SEA,,NO,7750,,
16/8-1,16/8-1,WILDCAT,25.09.1976,,,NORTH SEA,,NO,335,,
16/8-2,16/8-2,WILDCAT,03.04.1980,,,NORTH SEA,,NO,234,,
16/8-3 S,16/8-3,WILDCAT,11.03.2013,,,NORTH SEA,,NO,7115,,
16/9-1,16/9-1,WILDCAT,08.05.1968,,,NORTH SEA,,NO,151,,
16/10-1,16/10-1,WILDCAT,25.05.1986,,,NORTH SEA,,NO,901,,
16/10-2,16/10-2,WILDCAT,20.06.1991,,,NORTH SEA,,NO,1767,,
16/10-3,16/10-3,WILDCAT,22.10.1996,,,NORTH SEA,,NO,2703,,
16/10-4,16/10-4,WILDCAT,11.07.1998,,,NORTH SEA,,NO,3531,,
16/10-5,16/10-5,WILDCAT,06.10.2012,,,NORTH SEA,,NO,7021,,
16/11-1 S,16/11-1,WILDCAT,14.07.1967,,,NORTH SEA,,NO,112,,
16/11-2,16/11-2,WILDCAT,16.06.1973,,,NORTH SEA,,NO,336,,
17/3-1,17/3-1,WILDCAT,29.06.1995,,17/3-1,NORTH SEA,,NO,2576,43976.0,
17/4-1,17/4-1,WILDCAT,17.06.1968,,,NORTH SEA,,NO,153,,
17/6-1,17/6-1,WILDCAT,05.01.2011,,,NORTH SEA,,NO,6501,,
17/9-1,17/9-1,WILDCAT,16.09.1973,,,NORTH SEA,,NO,337,,
17/9-1 R,17/9-1,WILDCAT,18.05.1974,,,NORTH SEA,,YES,515,,
17/10-1,17/10-1,WILDCAT,30.12.1968,,,NORTH SEA,,NO,161,,
17/11-1,17/11-1,WILDCAT,24.05.1968,,,NORTH SEA,,NO,906,,
17/11-2,17/11-2,WILDCAT,12.04.1976,,,NORTH SEA,,NO,338,,
17/12-1,17/12-1,WILDCAT,27.10.1971,,,NORTH SEA,,NO,339,,
17/12-1 R,17/12-1,WILDCAT,14.03.1972,,17/12-1 VETTE,NORTH SEA,,YES,514,43964.0,
17/12-2,17/12-2,WILDCAT,31.08.1973,,17/12-2 (Brisling),NORTH SEA,,NO,340,43970.0,
18/10-1,18/10-1,WILDCAT,19.10.1979,,18/10-1 (Mackerel),NORTH SEA,,NO,342,43982.0,
18/11-1,18/11-1,WILDCAT,17.02.1974,,,NORTH SEA,,NO,343,,
24/6-1,24/6-1,WILDCAT,09.02.1985,,24/6-1 PEIK,NORTH SEA,,NO,443,44174.0,
24/6-2,24/6-2,WILDCAT,25.05.1998,ALVHEIM,24/6-2 ALVHEIM,NORTH SEA,,NO,3397,45828.0,2845712.0
24/6-4,24/6-4,WILDCAT,22.04.2003,ALVHEIM,24/6-4 ALVHEIM,NORTH SEA,,NO,4745,2472552.0,2845712.0
24/9-1,24/9-1,WILDCAT,29.02.1976,,,NORTH SEA,,NO,344,,
24/9-2,24/9-2,WILDCAT,13.06.1977,,,NORTH SEA,,NO,345,,
24/9-3,24/9-3,WILDCAT,28.01.1981,,24/9-3,NORTH SEA,,NO,346,44180.0,
24/9-5,24/9-5,WILDCAT,07.12.1993,VOLUND,24/9-5 VOLUND,NORTH SEA,,NO,2244,44186.0,4380167.0
24/9-8,24/9-8,WILDCAT,18.07.2007,,,NORTH SEA,,NO,5563,,
24/9-9 S,24/9-9,WILDCAT,12.09.2009,BØYLA,24/9-9 S BØYLA,NORTH SEA,,NO,6222,17237206.0,22492497.0
24/9-10 S,24/9-10,WILDCAT,06.01.2011,,24/9-10 S (Caterpillar),NORTH SEA,,NO,6531,20415286.0,
24/12-1,24/12-1,WILDCAT,16.01.1978,,,NORTH SEA,,NO,347,,
24/12-1 R,24/12-1,WILDCAT,07.06.1978,,,NORTH SEA,,YES,513,,
24/12-2,24/12-2,WILDCAT,23.06.1981,,,NORTH SEA,,NO,348,,
24/12-3 S,24/12-3,WILDCAT,27.06.1996,,24/12-3 S,NORTH SEA,,NO,2823,44168.0,
24/12-4,24/12-4,WILDCAT,31.08.2001,,,NORTH SEA,,NO,4383,,
24/12-6 S,24/12-6,WILDCAT,16.08.2010,,,NORTH SEA,,NO,6328,,
25/1-1,25/1-1,WILDCAT,30.03.1971,FRIGG,25/1-1 FRIGG,NORTH SEA,,NO,190,44204.0,43555.0
25/1-4,25/1-4,WILDCAT,01.04.1974,NORDØST FRIGG,25/1-4 NORDØST FRIGG,NORTH SEA,,NO,350,44228.0,43568.0
25/1-6,25/1-6,WILDCAT,26.01.1978,,,NORTH SEA,,NO,352,,
25/1-9,25/1-9,WILDCAT,09.09.1986,,25/1-9,NORTH SEA,,NO,1001,2786238.0,
25/1-10,25/1-10,WILDCAT,19.04.1988,,,NORTH SEA,,NO,1219,,
25/1-11,25/1-11,WILDCAT,04.01.2010,,,NORTH SEA,,NO,6187,,
25/1-11 R,25/1-11,WILDCAT,04.04.2010,,25/1-11 R (Storklakken),NORTH SEA,,YES,6368,18086221.0,
25/2-1,25/2-1,WILDCAT,04.08.1973,ØST FRIGG,25/2-1 ØST FRIGG,NORTH SEA,,NO,353,44234.0,43576.0
25/2-3,25/2-3,WILDCAT,01.09.1974,,,NORTH SEA,,NO,355,,
25/2-4,25/2-4,WILDCAT,14.05.1975,LILLE-FRIGG,25/2-4 LILLE-FRIGG,NORTH SEA,,NO,356,44240.0,43583.0
25/2-5,25/2-5,WILDCAT,08.03.1976,,25/2-5 LILLE FRØY,NORTH SEA,,NO,357,44246.0,
25/2-7,25/2-7,WILDCAT,01.04.1982,,,NORTH SEA,,NO,47,,
25/2-10 S,25/2-10,WILDCAT,02.12.1985,,25/2-10 S (Frigg-GammaDelta),NORTH SEA,,NO,855,2429169.0,
25/2-10 SR,25/2-10,WILDCAT,16.09.1987,,25/2-10 S (Frigg-GammaDelta),NORTH SEA,,YES,1178,2429169.0,
25/2-15,25/2-15,WILDCAT,14.11.1992,,,NORTH SEA,,NO,1938,,
25/2-15 R,25/2-15,WILDCAT,06.02.1993,,,NORTH SEA,,YES,2095,,
25/2-15 R2,25/2-15,WILDCAT,06.03.1993,,,NORTH SEA,,YES,2116,,
25/2-16 S,25/2-16,WILDCAT,03.08.2001,,,NORTH SEA,,NO,4385,,
25/2-17,25/2-17,WILDCAT,07.09.2009,,25/2-17,NORTH SEA,,NO,6215,17237215.0,
25/2-18 S,25/2-18,WILDCAT,06.08.2016,,,NORTH SEA,,NO,8023,,
25/3-1,25/3-1,WILDCAT,05.07.1989,,,NORTH SEA,,NO,1419,,
25/4-1,25/4-1,WILDCAT,01.07.1972,HEIMDAL,25/4-1 HEIMDAL,NORTH SEA,,NO,359,44252.0,43590.0
25/4-2,25/4-2,WILDCAT,18.10.1973,,25/4-2,NORTH SEA,,NO,360,21076955.0,
25/4-3,25/4-3,WILDCAT,13.10.1974,,25/4-3 (Gekko),NORTH SEA,,NO,361,1630312.0,
25/4-6 S,25/4-6,WILDCAT,15.04.1991,VALE,25/4-6 S VALE,NORTH SEA,,NO,1703,44258.0,1578893.0
25/4-6 SR,25/4-6,WILDCAT,09.09.2003,VALE,25/4-6 S VALE,NORTH SEA,,YES,4819,44258.0,1578893.0
25/4-7,25/4-7,WILDCAT,21.03.2003,ALVHEIM,25/4-7 ALVHEIM,NORTH SEA,,NO,4716,2420578.0,2845712.0
25/4-9 S,25/4-9,WILDCAT,05.09.2003,VILJE,25/4-9 S VILJE,NORTH SEA,,NO,4278,2472606.0,3392471.0
25/4-10 A,25/4-10,WILDCAT,11.11.2009,,25/4-10 A,NORTH SEA,,NO,6255,17312260.0,
25/4-10 S,25/4-10,WILDCAT,20.10.2009,ALVHEIM,25/4-10 S,NORTH SEA,,NO,6253,17256863.0,2845712.0
25/5-1,25/5-1,WILDCAT,12.05.1987,FRØY,25/5-1 FRØY,NORTH SEA,,NO,884,44264.0,43597.0
25/5-3,25/5-3,WILDCAT,27.01.1990,SKIRNE,25/5-3 SKIRNE,NORTH SEA,,NO,1488,44270.0,2138816.0
25/5-4,25/5-4,WILDCAT,22.12.1990,SKIRNE,25/5-4 BYGGVE,NORTH SEA,,NO,1691,44276.0,2138816.0
25/5-5,25/5-5,WILDCAT,27.10.1995,,25/5-5 (Tir),NORTH SEA,,NO,2661,44282.0,
25/5-6,25/5-6,WILDCAT,27.08.2009,,,NORTH SEA,,NO,6167,,
25/5-7,25/5-7,WILDCAT,25.08.2010,ATLA,25/5-7 ATLA,NORTH SEA,,NO,6423,18404420.0,21106284.0
25/5-8,25/5-8,WILDCAT,14.12.2013,,,NORTH SEA,,NO,7308,,
25/5-9,25/5-9,WILDCAT,01.01.2014,,25/5-9 (Trell),NORTH SEA,,NO,7345,24567425.0,
25/6-1,25/6-1,WILDCAT,18.12.1985,,25/6-1,NORTH SEA,,NO,524,44288.0,
25/6-2,25/6-2,WILDCAT,26.04.1992,,,NORTH SEA,,NO,1949,,
25/6-3,25/6-3,WILDCAT,21.10.1999,,,NORTH SEA,,NO,3885,,
25/6-4 S,25/6-4,WILDCAT,10.01.2012,,,NORTH SEA,,NO,6507,,
25/6-5 S,25/6-5,WILDCAT,13.03.2015,,25/6-5 S (Skirne Øst),NORTH SEA,,NO,7662,26336791.0,
25/7-1 S,25/7-1,WILDCAT,14.04.1986,,,NORTH SEA,,NO,898,,
25/7-2,25/7-2,WILDCAT,08.02.1990,,25/7-2,NORTH SEA,,NO,1494,44294.0,
25/7-3,25/7-3,WILDCAT,27.07.1995,JOTUN,25/7-3 JOTUN,NORTH SEA,,NO,2623,44300.0,43604.0
25/7-4 S,25/7-4,WILDCAT,02.06.1997,,,NORTH SEA,,NO,3114,,
25/7-5,25/7-5,WILDCAT,16.07.1997,ALVHEIM,25/7-5,NORTH SEA,,NO,3132,44306.0,2845712.0
25/8-1,25/8-1,WILDCAT,28.04.1970,BALDER,25/8-1 FORSETI,NORTH SEA,,NO,173,44312.0,43562.0
25/8-2,25/8-2,WILDCAT,09.09.1975,,,NORTH SEA,,NO,363,,
25/8-4,25/8-4,WILDCAT,25.07.1992,,25/8-4 (D-struktur),NORTH SEA,,NO,1986,44324.0,
25/8-5 S,25/8-5,WILDCAT,21.07.1994,JOTUN,25/8-5 S JOTUN,NORTH SEA,,NO,2390,44330.0,43604.0
25/8-5 SR,25/8-5,WILDCAT,27.07.1997,JOTUN,25/8-5 S JOTUN,NORTH SEA,,YES,3192,44330.0,43604.0
25/8-7,25/8-7,WILDCAT,21.07.1995,,,NORTH SEA,,NO,2612,,
25/8-8 S,25/8-8,WILDCAT,22.08.1995,JOTUN,25/8-8 S JOTUN,NORTH SEA,,NO,2646,44336.0,43604.0
25/8-9,25/8-9,WILDCAT,05.01.1997,,25/8-9,NORTH SEA,,NO,2988,44342.0,
25/8-10 S,25/8-10,WILDCAT,29.04.1997,BALDER,25/8-10 S RINGHORNE,NORTH SEA,,NO,3062,52316.0,43562.0
25/8-11,25/8-11,WILDCAT,16.10.1997,BALDER,25/8-11 RINGHORNE,NORTH SEA,,NO,3209,44318.0,43562.0
25/8-13,25/8-13,WILDCAT,31.10.2001,,,NORTH SEA,,NO,4438,,
25/8-14 S,25/8-14,WILDCAT,21.08.2003,RINGHORNE ØST,25/8-14 S,NORTH SEA,,NO,4805,2472571.0,3505505.0
25/8-16 S,25/8-16,WILDCAT,10.04.2009,,25/8-16 S (Eitri),NORTH SEA,,NO,6082,5506890.0,
25/8-17,25/8-17,WILDCAT,09.10.2009,JETTE,25/8-17 JETTE,NORTH SEA,,NO,6185,17238186.0,21613906.0
25/9-1,25/9-1,WILDCAT,28.03.1995,,,NORTH SEA,,NO,2476,,
25/9-2 S,25/9-2,WILDCAT,18.07.2003,,,NORTH SEA,,NO,4735,,
25/9-3,25/9-3,WILDCAT,28.08.2009,,,NORTH SEA,,NO,6189,,
25/9-4,25/9-4,WILDCAT,10.01.2014,,,NORTH SEA,,NO,7299,,
25/10-2,25/10-2,WILDCAT,05.08.1970,,,NORTH SEA,,NO,180,,
25/10-2 R,25/10-2,WILDCAT,02.05.1972,,,NORTH SEA,,YES,511,,
25/10-6 S,25/10-6,WILDCAT,26.12.1995,,,NORTH SEA,,NO,2728,,
25/10-7 S,25/10-7,WILDCAT,20.05.1996,,,NORTH SEA,,NO,2769,,
25/10-8,25/10-8,WILDCAT,17.02.1997,HANZ,25/10-8 HANZ,NORTH SEA,,NO,2955,44198.0,25307278.0
25/10-9,25/10-9,WILDCAT,09.06.2009,,,NORTH SEA,,NO,6120,,
25/10-10,25/10-10,WILDCAT,01.03.2010,,,NORTH SEA,,NO,6345,,
25/10-11,25/10-11,WILDCAT,22.02.2011,,25/10-11,NORTH SEA,,NO,6563,20499806.0,
25/10-12 S,25/10-12,WILDCAT,27.10.2014,,,NORTH SEA,,NO,7293,,
25/10-13 S,25/10-13,WILDCAT,24.05.2015,,,NORTH SEA,,NO,7704,,
25/10-14 S,25/10-14,WILDCAT,19.12.2015,,,NORTH SEA,,NO,7794,,
25/10-15 S,25/10-15,WILDCAT,17.07.2016,,,NORTH SEA,,NO,8005,,
25/11-1,25/11-1,WILDCAT,18.10.1966,BALDER,25/11-1 BALDER,NORTH SEA,,NO,143,44210.0,43562.0
25/11-15,25/11-15,WILDCAT,10.11.1991,GRANE,25/11-15 GRANE,NORTH SEA,,NO,1872,44216.0,1035937.0
25/11-16,25/11-16,WILDCAT,29.06.1992,SVALIN,25/11-16 SVALIN,NORTH SEA,,NO,1920,44222.0,22507971.0
25/11-17,25/11-17,WILDCAT,01.03.1993,,,NORTH SEA,,NO,1921,,
25/11-20,25/11-20,WILDCAT,08.10.1995,,,NORTH SEA,,NO,2667,,
25/11-22,25/11-22,WILDCAT,07.01.1998,,,NORTH SEA,,NO,3243,,
25/11-24,25/11-24,WILDCAT,18.02.2007,,25/11-24 (Jakob Sør),NORTH SEA,,NO,5470,4457094.0,
25/11-25 A,25/11-25,WILDCAT,15.02.2008,,,NORTH SEA,,NO,5643,,
25/11-25 S,25/11-25,WILDCAT,20.01.2008,SVALIN,25/11-25 S SVALIN,NORTH SEA,,NO,5642,4972673.0,22507971.0
25/11-26,25/11-26,WILDCAT,16.01.2013,,,NORTH SEA,,NO,7105,,
25/11-27,25/11-27,WILDCAT,04.05.2013,,25/11-27,NORTH SEA,,NO,7179,23395692.0,
25/11-28,25/11-28,WILDCAT,08.09.2015,,,NORTH SEA,,NO,7776,,
25/12-1,25/12-1,WILDCAT,03.10.1973,,,NORTH SEA,,NO,374,,
26/4-1,26/4-1,WILDCAT,08.05.1987,,,NORTH SEA,,NO,1046,,
26/4-2,26/4-2,WILDCAT,13.04.2004,,,NORTH SEA,,NO,4925,,
26/5-1,26/5-1,WILDCAT,10.04.2013,,,NORTH SEA,,NO,7142,,
26/10-1,26/10-1,WILDCAT,20.01.2015,,26/10-1 (Zulu Øst),NORTH SEA,,NO,7609,26264822.0,
29/3-1,29/3-1,WILDCAT,20.05.1986,,29/3-1,NORTH SEA,,NO,904,44348.0,
29/6-1,29/6-1,WILDCAT,12.10.1981,MARTIN LINGE,29/6-1,NORTH SEA,,NO,375,2770139.0,21675447.0
30/2-1,30/2-1,WILDCAT,17.05.1982,HULDRA,30/2-1 HULDRA,NORTH SEA,,NO,72,44372.0,97002.0
30/2-4 S,30/2-4,WILDCAT,01.05.2008,,,NORTH SEA,,NO,5784,,
30/3-2,30/3-2,WILDCAT,04.07.1980,,,NORTH SEA,,NO,203,,
30/3-2 R,30/3-2,WILDCAT,02.09.1980,VESLEFRIKK,30/3-2  VESLEFRIKK,NORTH SEA,,YES,508,44378.0,43618.0
30/3-3,30/3-3,WILDCAT,02.04.1983,,,NORTH SEA,,NO,10,,
30/3-6 S,30/3-6,WILDCAT,26.12.1993,VESLEFRIKK,30/3-6 S,NORTH SEA,30/3-A-20   ,NO,2269,44384.0,43618.0
30/3-7 A,30/3-7,WILDCAT,13.10.1997,VESLEFRIKK,30/3-7 A,NORTH SEA,,NO,3176,46312.0,43618.0
30/3-7 B,30/3-7,WILDCAT,20.05.1998,VESLEFRIKK,30/3-7 B,NORTH SEA,,NO,3229,46322.0,43618.0
30/3-7 BR,30/3-7,WILDCAT,05.11.2001,VESLEFRIKK,30/3-7 B,NORTH SEA,30/3-A-23   ,YES,4453,46322.0,43618.0
30/3-7 S,30/3-7,WILDCAT,21.09.1995,VESLEFRIKK,30/3-7 S,NORTH SEA,,NO,2632,44390.0,43618.0
30/3-9,30/3-9,WILDCAT,24.04.2000,,30/3-9,NORTH SEA,,NO,4053,1036262.0,
30/4-1,30/4-1,WILDCAT,01.11.1978,,,NORTH SEA,,NO,377,,
